Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Kraftstoffverbrauch(L)	Kraftst.eff. (A)(ha/L)	Mot.-Leist.(W)	Mtr.belast.(%)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Kraftst.verbr. (F)(L/ha)	Kraftst.verbr. (Z)(L/h)	Kraftst.verbr. (M)(L/tonne)	Kraftst.verbr. (V)(L/L)	Fruchtdurchs. (V)(m³/s)	Kraftstoffeff.(km/L)	Datum
11,67361353	48,42900981	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	1	1,414	277,50	1,000	515,26	02.07.2018	Ein	5,800	Nein	6,663	13,60	2,257	3652,6	2,257	3652,6	Eingang	0,00	0,0060	0,137	0,00	49,00	2	5,090	2,952	7,316	21,60	3,242	0,0020	0,0030	0,236	02.07.2018
11,67359458	48,42900914	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	2	1,422	265,00	1,000	515,25	02.07.2018	Ein	5,800	Nein	8,608	13,30	2,899	4692,5	2,899	4692,5	Eingang	-0,00072	0,0080	0,103	0,00	50,00	2	5,119	2,969	9,700	28,80	3,346	0,0021	0,0039	0,178	02.07.2018
11,67357424	48,42900791	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	3	1,596	264,80	1,100	515,23	02.07.2018	Ein	5,800	Nein	10,33	12,70	3,410	5519,7	3,410	5519,7	Eingang	0,00045	0,0080	0,116	0,00	50,00	2	5,223	3,029	8,642	26,18	2,534	0,0016	0,0046	0,200	02.07.2018
11,67355432	48,42900725	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	4	1,460	267,50	1,000	515,24	02.07.2018	Ein	5,800	Nein	12,60	12,20	4,134	6691,6	4,134	6691,6	Eingang	0,00052	0,0080	0,106	0,00	51,00	2	5,256	3,048	9,447	28,80	2,285	0,0014	0,0057	0,182	02.07.2018
11,67353492	48,42900590	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	5	1,554	263,40	1,000	515,26	02.07.2018	Ein	5,800	Nein	15,67	12,70	4,830	7817,6	4,830	7817,6	Eingang	-0,00087	0,0080	0,113	0,00	54,00	2	5,594	3,245	8,876	28,80	1,838	0,0011	0,0070	0,194	02.07.2018
11,67351485	48,42900403	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	6	1,593	261,80	1,000	515,27	02.07.2018	Ein	5,800	Nein	19,28	12,80	5,797	9382,7	5,797	9382,7	Eingang	0,00020	0,0090	0,103	0,00	55,00	2	5,735	3,326	9,741	32,40	1,680	0,0010	0,0087	0,177	02.07.2018
11,67347459	48,42899639	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	7	3,026	252,10	1,900	515,25	02.07.2018	Ein	5,800	Nein	19,26	13,20	5,791	9372,3	5,791	9372,3	Eingang	-0,00023	0,010	0,176	0,00	55,00	2	5,733	3,325	5,698	18,95	0,984	0,00061	0,0087	0,303	02.07.2018
11,67345467	48,42899261	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	8	1,591	254,30	1,000	515,23	02.07.2018	Ein	5,800	Nein	21,20	12,50	6,383	10331	6,383	10331	Eingang	-0,00012	0,010	0,092	0,00	55,00	2	5,728	3,322	10,84	36,00	1,698	0,0010	0,0095	0,159	02.07.2018
11,67343449	48,42898911	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	9	1,582	255,50	1,000	515,21	02.07.2018	Ein	5,800	Nein	21,22	12,60	6,424	10397	6,424	10397	Eingang	0,00054	0,010	0,092	0,00	55,00	2	5,695	3,303	10,90	36,00	1,697	0,0010	0,0095	0,158	02.07.2018
11,67341435	48,42898550	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	10	1,661	254,80	1,100	515,19	02.07.2018	Ein	5,800	Nein	21,62	12,90	6,856	11097	6,856	11097	Eingang	0,00065	0,010	0,096	0,00	56,00	2	5,436	3,153	10,38	32,73	1,514	0,00094	0,0097	0,166	02.07.2018
11,67339407	48,42898167	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	11	1,563	254,00	1,000	515,18	02.07.2018	Ein	5,800	Nein	22,36	13,40	6,851	11088	6,851	11088	Eingang	-0,00045	0,010	0,091	0,00	54,00	2	5,627	3,264	11,03	36,00	1,610	0,00099	0,010	0,156	02.07.2018
11,67337369	48,42897764	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	12	1,585	253,30	1,000	515,16	02.07.2018	Ein	5,800	Nein	20,08	13,00	6,067	9819,3	6,067	9819,3	Eingang	-0,00046	0,010	0,092	0,00	55,00	2	5,706	3,309	10,88	36,00	1,793	0,0011	0,0090	0,158	02.07.2018
11,67333329	48,42896893	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	13	3,070	251,30	1,900	515,10	02.07.2018	Ein	5,800	Nein	19,36	12,70	5,738	9287,7	5,738	9287,7	Eingang	0,00035	0,0090	0,198	0,00	56,00	2	5,817	3,374	5,054	17,05	0,881	0,00054	0,0087	0,341	02.07.2018
11,67331363	48,42896438	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	14	1,614	250,70	1,000	515,09	02.07.2018	Ein	5,800	Nein	20,44	12,70	6,065	9817,1	6,065	9817,1	Eingang	-0,00063	0,010	0,094	0,00	55,00	2	5,810	3,370	10,68	36,00	1,761	0,0011	0,0092	0,161	02.07.2018
11,67329380	48,42895990	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	15	1,575	251,30	1,000	515,05	02.07.2018	Ein	5,800	Nein	21,01	12,70	6,390	10342	6,390	10342	Eingang	-0,00018	0,010	0,091	0,00	55,00	2	5,670	3,289	10,95	36,00	1,713	0,0011	0,0094	0,157	02.07.2018
11,67327363	48,42895559	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	16	1,591	252,30	1,000	514,99	02.07.2018	Ein	5,800	Nein	20,09	12,90	6,048	9789,6	6,048	9789,6	Eingang	-0,00034	0,010	0,092	0,00	54,00	2	5,728	3,322	10,84	36,00	1,792	0,0011	0,0090	0,159	02.07.2018
11,67325357	48,42895082	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	17	1,606	250,00	1,000	514,95	02.07.2018	Ein	5,800	Nein	21,59	12,90	6,437	10418	6,437	10418	Eingang	-1,013e-05	0,0090	0,103	0,00	56,00	2	5,782	3,353	9,662	32,40	1,501	0,00093	0,0097	0,178	02.07.2018
11,67323224	48,42894540	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	18	1,642	248,90	1,000	515,11	02.07.2018	Ein	5,800	Nein	19,90	12,50	5,804	9393,5	5,804	9393,5	Eingang	-0,00028	0,0090	0,106	0,00	55,00	2	5,911	3,428	9,450	32,40	1,628	0,0010	0,0089	0,182	02.07.2018
11,67321123	48,42894018	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	19	1,608	249,60	1,000	515,26	02.07.2018	Ein	5,800	Nein	20,58	12,40	6,130	9921,8	6,130	9921,8	Eingang	-0,00015	0,0090	0,104	0,00	56,00	2	5,789	3,358	9,650	32,40	1,574	0,00097	0,0093	0,179	02.07.2018
11,67319073	48,42893506	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	20	1,603	249,30	1,000	515,35	02.07.2018	Ein	5,800	Nein	21,60	12,40	6,454	10446	6,454	10446	Eingang	-0,00054	0,0090	0,103	0,00	54,00	2	5,771	3,347	9,680	32,40	1,500	0,00093	0,0097	0,178	02.07.2018
11,67317032	48,42892992	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	21	1,618	249,20	1,000	515,42	02.07.2018	Ein	5,800	Nein	22,35	12,50	6,615	10707	6,615	10707	Eingang	-0,00041	0,0090	0,104	0,00	55,00	2	5,825	3,378	9,590	32,40	1,450	0,00090	0,010	0,180	02.07.2018
11,67315011	48,42892467	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	22	1,603	248,60	1,000	515,44	02.07.2018	Ein	5,800	Nein	22,24	12,40	6,644	10754	6,644	10754	Eingang	-0,00026	0,0090	0,103	0,00	50,00	2	5,771	3,347	9,680	32,40	1,457	0,00090	0,0100	0,178	02.07.2018
11,67313132	48,42892032	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	23	1,603	251,10	1,000	515,20	02.07.2018	Ein	5,800	Nein	22,78	12,60	6,806	11015	6,806	11015	Eingang	-0,00047	0,0090	0,103	0,00	54,00	2	5,771	3,347	9,680	32,40	1,422	0,00088	0,010	0,178	02.07.2018
11,67311160	48,42891569	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	24	1,622	250,40	1,000	514,97	02.07.2018	Ein	5,800	Nein	21,90	12,70	6,467	10468	6,467	10468	Eingang	1,508e-05	0,0090	0,105	0,00	54,00	2	5,839	3,387	9,567	32,40	1,479	0,00091	0,0098	0,180	02.07.2018
11,67309042	48,42890999	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	25	1,606	247,60	1,000	515,05	02.07.2018	Ein	5,800	Nein	23,76	12,60	7,087	11470	7,087	11470	Eingang	0,00020	0,0090	0,103	0,00	54,00	2	5,782	3,353	9,662	32,40	1,363	0,00084	0,011	0,178	02.07.2018
11,67306985	48,42890454	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	26	1,605	248,30	1,000	515,14	02.07.2018	Ein	5,800	Nein	22,84	12,40	6,817	11033	6,817	11033	Eingang	0,00026	0,0090	0,103	0,00	54,00	2	5,778	3,351	9,668	32,40	1,418	0,00088	0,010	0,178	02.07.2018
11,67304918	48,42889923	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	27	1,611	248,90	1,000	515,16	02.07.2018	Ein	5,800	Nein	25,01	12,40	7,435	12034	7,435	12034	Eingang	-1,074e-05	0,0090	0,104	0,00	55,00	2	5,800	3,364	9,632	32,40	1,295	0,00080	0,011	0,179	02.07.2018
11,67302855	48,42889359	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	28	1,626	247,50	1,000	515,18	02.07.2018	Ein	5,800	Nein	25,33	12,40	7,461	12075	7,461	12075	Eingang	0,00020	0,0090	0,105	0,00	54,00	2	5,854	3,395	9,543	32,40	1,279	0,00079	0,011	0,181	02.07.2018
11,67300833	48,42888812	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	29	1,608	247,80	1,000	515,17	02.07.2018	Ein	5,800	Nein	28,55	12,40	8,503	13761	8,503	13761	Eingang	0,00043	0,0090	0,104	0,00	54,00	2	5,789	3,358	9,650	32,40	1,135	0,00070	0,013	0,179	02.07.2018
11,67298843	48,42888284	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	30	1,729	248,30	1,100	515,15	02.07.2018	Ein	5,800	Nein	22,27	12,40	6,786	10983	6,786	10983	Eingang	-0,00012	0,0090	0,111	0,00	55,00	2	5,659	3,282	8,975	29,45	1,323	0,00082	0,010	0,192	02.07.2018
11,67296880	48,42887767	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	31	1,611	248,40	1,000	515,13	02.07.2018	Ein	5,800	Nein	24,53	12,40	7,293	11804	7,293	11804	Eingang	0,00039	0,0090	0,104	0,00	56,00	2	5,800	3,364	9,632	32,40	1,321	0,00082	0,011	0,179	02.07.2018
11,67292825	48,42886687	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	32	3,105	248,80	1,900	515,03	02.07.2018	Ein	5,800	Nein	24,66	12,40	7,227	11697	7,227	11697	Eingang	0,00012	0,0090	0,200	0,00	55,00	2	5,883	3,412	4,998	17,05	0,692	0,00043	0,011	0,345	02.07.2018
11,67290786	48,42886162	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	33	1,610	248,80	1,000	514,97	02.07.2018	Ein	5,800	Nein	25,36	12,60	7,542	12208	7,542	12208	Eingang	0,00037	0,010	0,093	0,00	54,00	2	5,796	3,362	10,71	36,00	1,420	0,00088	0,011	0,161	02.07.2018
11,67288779	48,42885588	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	34	1,641	246,40	1,000	514,92	02.07.2018	Ein	5,800	Nein	24,75	12,60	7,224	11691	7,224	11691	Eingang	3,960e-05	0,0090	0,106	0,00	56,00	2	5,908	3,426	9,456	32,40	1,309	0,00081	0,011	0,182	02.07.2018
11,67286801	48,42885017	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	35	1,742	246,50	1,100	514,86	02.07.2018	Ein	5,800	Nein	23,88	12,50	7,221	11688	7,221	11688	Eingang	-0,00011	0,010	0,101	0,00	55,00	2	5,701	3,307	9,897	32,73	1,371	0,00085	0,011	0,174	02.07.2018
11,67284840	48,42884429	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	36	1,614	245,50	1,000	514,82	02.07.2018	Ein	5,800	Nein	24,42	12,50	7,246	11728	7,246	11728	Eingang	-0,00058	0,010	0,094	0,00	56,00	2	5,810	3,370	10,68	36,00	1,474	0,00091	0,011	0,161	02.07.2018
11,67282875	48,42883851	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	37	1,631	246,20	1,000	514,80	02.07.2018	Ein	5,800	Nein	24,85	12,40	7,297	11811	7,297	11811	Eingang	-2,339e-05	0,010	0,095	0,00	59,00	2	5,872	3,406	10,57	36,00	1,449	0,00090	0,011	0,163	02.07.2018
11,67278816	48,42882784	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	38	3,124	248,50	1,900	514,66	02.07.2018	Ein	5,800	Nein	25,53	12,50	7,437	12038	7,437	12038	Eingang	0,00039	0,010	0,181	0,00	56,00	2	5,919	3,433	5,519	18,95	0,742	0,00046	0,011	0,312	02.07.2018
11,67276752	48,42882241	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	39	1,624	248,30	1,000	514,59	02.07.2018	Ein	5,800	Nein	23,55	12,40	6,944	11238	6,944	11238	Eingang	0,00039	0,010	0,094	0,00	55,00	2	5,846	3,391	10,62	36,00	1,529	0,00094	0,011	0,162	02.07.2018
11,67274738	48,42881680	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	40	1,626	247,10	1,000	514,53	02.07.2018	Ein	5,800	Nein	24,18	12,40	7,123	11528	7,123	11528	Eingang	0,00048	0,010	0,094	0,00	57,00	2	5,854	3,395	10,60	36,00	1,489	0,00092	0,011	0,163	02.07.2018
11,67272757	48,42881135	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	41	1,784	247,50	1,100	514,48	02.07.2018	Ein	5,800	Nein	23,71	12,20	7,001	11331	7,001	11331	Eingang	5,506e-05	0,010	0,103	0,00	57,00	2	5,839	3,386	9,664	32,73	1,380	0,00085	0,011	0,178	02.07.2018
11,67270787	48,42880588	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	42	1,611	247,30	1,000	514,44	02.07.2018	Ein	5,800	Nein	24,65	12,30	7,327	11859	7,327	11859	Eingang	-0,00017	0,010	0,093	0,00	54,00	2	5,800	3,364	10,70	36,00	1,461	0,00090	0,011	0,161	02.07.2018
11,67268824	48,42880034	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	43	1,556	246,90	1,000	514,41	02.07.2018	Ein	5,800	Nein	24,95	12,40	7,679	12428	7,679	12428	Eingang	0,00011	0,010	0,090	0,00	57,00	2	5,602	3,249	11,08	36,00	1,443	0,00089	0,011	0,156	02.07.2018
11,67264821	48,42878938	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	44	3,108	247,60	1,900	514,31	02.07.2018	Ein	5,800	Nein	27,30	12,40	7,994	12939	7,994	12939	Eingang	0,00057	0,010	0,180	0,00	55,00	2	5,889	3,416	5,547	18,95	0,694	0,00043	0,012	0,311	02.07.2018
11,67262825	48,42878388	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	45	1,605	247,40	1,000	514,24	02.07.2018	Ein	5,800	Nein	27,02	12,40	8,062	13049	8,062	13049	Eingang	0,00020	0,0090	0,103	0,00	55,00	2	5,778	3,351	9,668	32,40	1,199	0,00074	0,012	0,178	02.07.2018
11,67260847	48,42877826	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	46	1,632	246,70	1,000	514,18	02.07.2018	Ein	5,800	Nein	26,29	12,40	7,714	12485	7,714	12485	Eingang	-0,00025	0,0090	0,105	0,00	54,00	2	5,875	3,408	9,508	32,40	1,233	0,00076	0,012	0,181	02.07.2018
11,67258894	48,42877278	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	47	1,714	247,20	1,100	514,12	02.07.2018	Ein	5,800	Nein	26,06	12,40	8,011	12965	8,011	12965	Eingang	0,00048	0,010	0,099	0,00	56,00	2	5,609	3,253	10,06	32,73	1,256	0,00078	0,012	0,171	02.07.2018
11,67256934	48,42876758	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	48	1,614	248,30	1,000	514,08	02.07.2018	Ein	5,800	Nein	27,76	12,20	8,237	13332	8,237	13332	Eingang	0,00026	0,010	0,094	0,00	57,00	2	5,810	3,370	10,68	36,00	1,297	0,00080	0,012	0,161	02.07.2018
11,67254975	48,42876189	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	49	1,653	246,00	1,000	514,03	02.07.2018	Ein	5,800	Nein	29,84	12,30	8,647	13995	8,647	13995	Eingang	0,00013	0,010	0,096	0,00	55,00	2	5,951	3,451	10,43	36,00	1,206	0,00075	0,013	0,165	02.07.2018
11,67251117	48,42875005	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	50	3,056	245,20	1,900	513,89	02.07.2018	Ein	5,800	Nein	21,84	12,30	6,503	10526	6,503	10526	Eingang	-0,00027	0,010	0,177	0,00	56,00	2	5,790	3,358	5,642	18,95	0,868	0,00054	0,0098	0,306	02.07.2018
11,67249136	48,42874417	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	51	1,619	246,00	1,000	513,81	02.07.2018	Ein	5,800	Nein	25,89	12,30	7,659	12396	7,659	12396	Eingang	0,00063	0,010	0,094	0,00	56,00	2	5,828	3,380	10,65	36,00	1,390	0,00086	0,012	0,162	02.07.2018
11,67247174	48,42873835	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	52	1,563	245,90	1,000	513,74	02.07.2018	Ein	5,800	Nein	24,72	12,40	7,576	12262	7,576	12262	Eingang	0,00013	0,010	0,091	0,00	57,00	2	5,627	3,264	11,03	36,00	1,456	0,00090	0,011	0,156	02.07.2018
11,67245211	48,42873256	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	53	1,758	246,10	1,100	513,68	02.07.2018	Ein	5,800	Nein	26,41	12,40	7,915	12811	7,915	12811	Eingang	0,00063	0,010	0,102	0,00	56,00	2	5,753	3,337	9,807	32,73	1,239	0,00077	0,012	0,176	02.07.2018
11,67243269	48,42872688	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	54	1,619	246,20	1,000	513,63	02.07.2018	Ein	5,800	Nein	25,74	12,40	7,615	12326	7,615	12326	Eingang	-2,333e-05	0,0090	0,104	0,00	56,00	2	5,828	3,380	9,584	32,40	1,259	0,00078	0,012	0,180	02.07.2018
11,67241349	48,42872108	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	55	1,556	245,40	1,000	513,58	02.07.2018	Ein	5,800	Nein	27,34	12,40	8,414	13618	8,414	13618	Eingang	0,00043	0,0090	0,100	0,00	57,00	2	5,602	3,249	9,973	32,40	1,185	0,00073	0,012	0,173	02.07.2018
11,67239420	48,42871526	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	56	1,588	245,50	1,000	513,52	02.07.2018	Ein	5,800	Nein	27,34	12,40	8,244	13344	8,244	13344	Eingang	7,696e-05	0,0090	0,102	0,00	60,00	2	5,717	3,316	9,772	32,40	1,185	0,00073	0,012	0,176	02.07.2018
11,67235529	48,42870339	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	57	3,059	245,50	1,900	513,38	02.07.2018	Ein	5,800	Nein	27,37	12,40	8,141	13177	8,141	13177	Eingang	7,697e-05	0,010	0,177	0,00	55,00	2	5,796	3,362	5,636	18,95	0,692	0,00043	0,012	0,306	02.07.2018
11,67233566	48,42869783	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	58	1,590	247,10	1,000	513,31	02.07.2018	Ein	5,800	Nein	26,46	12,30	7,971	12902	7,971	12902	Eingang	-0,00017	0,010	0,092	0,00	57,00	2	5,724	3,320	10,84	36,00	1,360	0,00084	0,012	0,159	02.07.2018
11,67231589	48,42869221	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	59	1,703	246,80	1,100	513,26	02.07.2018	Ein	5,800	Nein	26,44	12,40	8,181	13240	8,181	13240	Eingang	0,00040	0,010	0,099	0,00	56,00	2	5,573	3,233	10,12	32,73	1,238	0,00076	0,012	0,170	02.07.2018
11,67229651	48,42868643	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	60	1,598	245,60	1,000	513,22	02.07.2018	Ein	5,800	Nein	28,14	12,50	8,435	13652	8,435	13652	Eingang	-0,00058	0,010	0,093	0,00	60,00	2	5,753	3,337	10,79	36,00	1,279	0,00079	0,013	0,160	02.07.2018
11,67227705	48,42868084	GRAFENACKER	18/07/02-17:43:22	Barley - Winter	61	1,587	246,80	1,000	513,17	02.07.2018	Ein	5,800	Nein	27,94	12,40	8,432	13648	8,432	13648	Eingang	0,00040	0,010	0,092	0,00	57,00	2	5,713	3,314	10,86	36,00	1,288	0,00080	0,013	0,159	02.07.2018
