Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Kraftstoffverbrauch(L)	Kraftst.eff. (A)(ha/L)	Mot.-Leist.(W)	Mtr.belast.(%)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Kraftst.verbr. (F)(L/ha)	Kraftst.verbr. (Z)(L/h)	Kraftst.verbr. (M)(L/tonne)	Kraftst.verbr. (V)(L/L)	Fruchtdurchs. (V)(m³/s)	Kraftstoffeff.(km/L)	Datum
11,66788598	48,42524669	KROHBERG	18/07/02-13:41:49K	Barley - Winter	1	0,633	11,00	1,000	494,94	02.07.2018	Ein	5,800	Nein	0,927	11,90	0,702	1135,6	0,702	1135,6	Eingang	0,150	0,0060	0,061	0,00	37,00	1	2,279	1,322	16,34	21,60	23,29	0,014	0,00042	0,105	02.07.2018
11,66788770	48,42525412	KROHBERG	18/07/02-13:41:49K	Barley - Winter	2	0,892	8,000	1,000	494,94	02.07.2018	Ein	5,800	Nein	1,183	11,90	0,635	1028,2	0,635	1028,2	Eingang	0,151	0,0060	0,086	0,00	43,00	1	3,211	1,862	11,60	21,60	18,26	0,011	0,00053	0,149	02.07.2018
11,66788962	48,42526432	KROHBERG	18/07/02-13:41:49K	Barley - Winter	3	1,167	6,900	1,000	494,92	02.07.2018	Ein	5,800	Nein	1,759	11,90	0,722	1168,3	0,722	1168,3	Eingang	0,150	0,0070	0,097	0,00	46,00	1	4,201	2,437	10,34	25,20	14,33	0,0089	0,00079	0,167	02.07.2018
11,66789209	48,42527623	KROHBERG	18/07/02-13:41:49K	Barley - Winter	4	1,328	8,000	1,000	494,89	02.07.2018	Ein	5,800	Nein	2,526	11,90	0,911	1474,6	0,911	1474,6	Eingang	0,150	0,0070	0,110	0,00	50,00	1	4,781	2,773	9,088	25,20	9,975	0,0062	0,0011	0,190	02.07.2018
11,66789464	48,42528871	KROHBERG	18/07/02-13:41:49K	Barley - Winter	5	1,315	7,700	1,000	494,87	02.07.2018	Ein	5,800	Nein	3,933	11,90	1,433	2318,6	1,433	2318,6	Eingang	0,150	0,0080	0,095	0,00	49,00	1	4,734	2,746	10,49	28,80	7,322	0,0045	0,0018	0,164	02.07.2018
11,66789697	48,42530142	KROHBERG	18/07/02-13:41:49K	Barley - Winter	6	1,418	6,800	1,000	494,86	02.07.2018	Ein	5,800	Nein	5,948	11,90	2,009	3251,5	2,009	3251,5	Eingang	0,150	0,0080	0,103	0,00	51,00	1	5,105	2,961	9,727	28,80	4,842	0,0030	0,0027	0,177	02.07.2018
11,66789930	48,42531548	KROHBERG	18/07/02-13:41:49K	Barley - Winter	7	1,528	6,200	1,000	494,84	02.07.2018	Ein	5,800	Nein	8,059	11,90	2,526	4088,1	2,526	4088,1	Eingang	0,149	0,0080	0,111	0,00	50,00	1	5,501	3,190	9,027	28,80	3,574	0,0022	0,0036	0,191	02.07.2018
11,66790156	48,42533013	KROHBERG	18/07/02-13:41:49K	Barley - Winter	8	1,690	5,800	1,000	494,81	02.07.2018	Ein	5,800	Nein	11,20	10,60	3,175	5138,6	3,175	5138,6	Eingang	0,150	0,0080	0,123	0,00	50,00	1	6,084	3,529	8,162	28,80	2,571	0,0016	0,0050	0,211	02.07.2018
11,66790339	48,42534454	KROHBERG	18/07/02-13:41:49K	Barley - Winter	9	1,611	4,700	1,000	494,79	02.07.2018	Ein	5,800	Nein	13,44	9,200	3,995	6465,8	3,995	6465,8	Eingang	0,150	0,0080	0,117	0,00	51,00	1	5,800	3,364	8,562	28,80	2,143	0,0013	0,0060	0,201	02.07.2018
11,66790485	48,42535926	KROHBERG	18/07/02-13:41:49K	Barley - Winter	10	1,586	3,600	1,000	494,75	02.07.2018	Ein	5,800	Nein	16,42	9,900	4,958	8025,3	4,958	8025,3	Eingang	0,150	0,0080	0,115	0,00	51,00	1	5,710	3,312	8,697	28,80	1,754	0,0011	0,0074	0,198	02.07.2018
11,66790636	48,42537385	KROHBERG	18/07/02-13:41:49K	Barley - Winter	11	1,613	4,000	1,000	494,73	02.07.2018	Ein	5,800	Nein	17,95	11,60	5,329	8625,1	5,329	8625,1	Eingang	0,150	0,0080	0,117	0,00	52,00	1	5,807	3,368	8,551	28,80	1,605	0,00099	0,0081	0,202	02.07.2018
11,66790715	48,42538817	KROHBERG	18/07/02-13:41:49K	Barley - Winter	12	1,668	1,800	1,000	494,70	02.07.2018	Ein	5,800	Nein	19,05	12,00	5,468	8850,7	5,468	8850,7	Eingang	0,150	0,0090	0,107	0,00	52,00	1	6,005	3,483	9,303	32,40	1,701	0,0011	0,0086	0,185	02.07.2018
11,66790734	48,42540238	KROHBERG	18/07/02-13:41:49K	Barley - Winter	13	1,608	0,300	1,000	494,67	02.07.2018	Ein	5,800	Nein	19,51	13,40	5,812	9406,1	5,812	9406,1	Eingang	0,150	0,0090	0,104	0,00	52,00	1	5,789	3,358	9,650	32,40	1,660	0,0010	0,0088	0,179	02.07.2018
