Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Kraftstoffverbrauch(L)	Kraftst.eff. (A)(ha/L)	Mot.-Leist.(W)	Mtr.belast.(%)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Kraftst.verbr. (F)(L/ha)	Kraftst.verbr. (Z)(L/h)	Kraftst.verbr. (M)(L/tonne)	Kraftst.verbr. (V)(L/L)	Fruchtdurchs. (V)(m³/s)	Kraftstoffeff.(km/L)	Datum
11,69253829	48,43901015	RADARSTATION	18/07/03-12:40:21	Barley - Winter	1	1,588	125,80	1,000	515,01	03.07.2018	Ein	5,800	Nein	1,044	13,40	0,315	509,42	0,315	509,42	Eingang	0,00	0,0090	0,102	0,00	50,00	4	5,717	3,316	9,772	32,40	31,05	0,019	0,00047	0,176	03.07.2018
11,69255563	48,43900225	RADARSTATION	18/07/03-12:40:21	Barley - Winter	2	1,526	124,30	1,000	515,02	03.07.2018	Ein	5,800	Nein	2,245	13,40	0,705	1140,6	0,705	1140,6	Eingang	-0,0012	0,0080	0,111	0,00	50,00	4	5,494	3,186	9,039	28,80	12,83	0,0079	0,0010	0,191	03.07.2018
11,69257252	48,43899431	RADARSTATION	18/07/03-12:40:21	Barley - Winter	3	1,511	125,50	1,000	515,14	03.07.2018	Ein	5,800	Nein	4,933	13,40	1,564	2530,9	1,564	2530,9	Eingang	-0,00088	0,0080	0,110	0,00	49,00	4	5,440	3,155	9,128	28,80	5,838	0,0036	0,0022	0,189	03.07.2018
11,69258725	48,43898515	RADARSTATION	18/07/03-12:40:21	Barley - Winter	4	1,470	134,30	1,000	515,06	03.07.2018	Ein	5,800	Nein	7,126	13,20	2,322	3757,7	2,322	3757,7	Eingang	-0,00081	0,0080	0,107	0,00	50,00	4	5,292	3,069	9,383	28,80	4,041	0,0025	0,0032	0,184	03.07.2018
11,69259896	48,43897503	RADARSTATION	18/07/03-12:40:21	Barley - Winter	5	1,468	143,80	1,000	514,97	03.07.2018	Ein	5,800	Nein	9,092	12,70	2,966	4800,8	2,966	4800,8	Eingang	-0,00093	0,0080	0,106	0,00	49,00	4	5,285	3,065	9,396	28,80	3,168	0,0020	0,0041	0,183	03.07.2018
11,69261061	48,43896545	RADARSTATION	18/07/03-12:40:21	Barley - Winter	6	1,421	140,60	1,000	515,03	03.07.2018	Ein	5,800	Nein	10,16	13,30	3,424	5541,8	3,424	5541,8	Eingang	-0,0013	0,0080	0,103	0,00	49,00	4	5,116	2,967	9,707	28,80	2,835	0,0018	0,0046	0,178	03.07.2018
11,69262138	48,43895547	RADARSTATION	18/07/03-12:40:21	Barley - Winter	7	1,429	145,00	1,000	515,10	03.07.2018	Ein	5,800	Nein	12,39	14,10	4,154	6723,6	4,154	6723,6	Eingang	-0,00073	0,0080	0,104	0,00	55,00	4	5,144	2,984	9,652	28,80	2,324	0,0014	0,0056	0,179	03.07.2018
11,69263045	48,43894476	RADARSTATION	18/07/03-12:40:21	Barley - Winter	8	1,414	151,60	1,000	515,15	03.07.2018	Ein	5,800	Nein	13,52	14,50	4,579	7410,7	4,579	7410,7	Eingang	-0,00083	0,0090	0,091	0,00	54,00	4	5,090	2,952	10,97	32,40	2,397	0,0015	0,0061	0,157	03.07.2018
11,69263774	48,43893331	RADARSTATION	18/07/03-12:40:21	Barley - Winter	9	1,417	158,00	1,000	515,20	03.07.2018	Ein	5,800	Nein	13,99	14,50	4,728	7652,4	4,728	7652,4	Eingang	-0,0011	0,0090	0,091	0,00	56,00	4	5,101	2,959	10,95	32,40	2,316	0,0014	0,0063	0,157	03.07.2018
11,69264268	48,43892203	RADARSTATION	18/07/03-12:40:21	Barley - Winter	10	1,372	164,80	1,000	515,08	03.07.2018	Ein	5,800	Nein	13,83	14,50	4,828	7814,7	4,828	7814,7	Eingang	-0,00068	0,0090	0,088	0,00	52,00	4	4,939	2,865	11,31	32,40	2,342	0,0014	0,0062	0,152	03.07.2018
