Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Kraftstoffverbrauch(L)	Kraftst.eff. (A)(ha/L)	Mot.-Leist.(W)	Mtr.belast.(%)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Kraftst.verbr. (F)(L/ha)	Kraftst.verbr. (Z)(L/h)	Kraftst.verbr. (M)(L/tonne)	Kraftst.verbr. (V)(L/L)	Fruchtdurchs. (V)(m³/s)	Kraftstoffeff.(km/L)	Datum
11,68783556	48,43836317	STRIEGELFELD 1	18/07/03-14:11:45	Barley - Winter	1	0,236	232,20	0,300	512,57	03.07.2018	Ein	5,800	Nein	0,470	14,50	0,286	463,59	0,286	463,59	Eingang	0,00017	0,0060	0,023	0,00	40,00	3	2,832	1,643	43,83	72,00	153,04	0,095	0,00021	0,039	03.07.2018
11,68782764	48,43835914	STRIEGELFELD 1	18/07/03-14:11:45	Barley - Winter	2	0,810	232,60	1,000	512,55	03.07.2018	Ein	5,800	Nein	0,910	14,50	0,538	870,45	0,538	870,45	Eingang	0,00037	0,0060	0,078	0,00	38,00	3	2,916	1,691	12,77	21,60	23,75	0,015	0,00041	0,135	03.07.2018
11,68781886	48,43835513	STRIEGELFELD 1	18/07/03-14:11:45	Barley - Winter	3	0,825	236,40	1,000	512,51	03.07.2018	Ein	5,800	Nein	1,976	14,50	1,147	1856,6	1,147	1856,6	Eingang	0,00016	0,0060	0,080	0,00	40,00	3	2,970	1,723	12,54	21,60	10,93	0,0068	0,00089	0,138	03.07.2018
11,68780869	48,43835126	STRIEGELFELD 1	18/07/03-14:11:45	Barley - Winter	4	0,875	241,20	1,000	512,45	03.07.2018	Ein	5,800	Nein	3,732	14,50	2,043	3306,5	2,043	3306,5	Eingang	-6,649e-05	0,0060	0,085	0,00	40,00	3	3,150	1,827	11,82	21,60	5,787	0,0036	0,0017	0,146	03.07.2018
11,68779736	48,43834805	STRIEGELFELD 1	18/07/03-14:11:45	Barley - Winter	5	0,902	248,40	1,000	512,39	03.07.2018	Ein	5,800	Nein	5,520	14,50	2,931	4743,9	2,931	4743,9	Eingang	0,00028	0,0060	0,087	0,00	40,00	3	3,247	1,883	11,47	21,60	3,913	0,0024	0,0025	0,150	03.07.2018
11,68778579	48,43834587	STRIEGELFELD 1	18/07/03-14:11:45	Barley - Winter	6	0,925	255,70	1,000	512,34	03.07.2018	Ein	5,800	Nein	6,900	14,50	3,573	5782,4	3,573	5782,4	Eingang	0,00012	0,0060	0,089	0,00	41,00	3	3,330	1,931	11,18	21,60	3,130	0,0019	0,0031	0,154	03.07.2018
11,68777368	48,43834411	STRIEGELFELD 1	18/07/03-14:11:45	Barley - Winter	7	0,914	258,20	1,000	512,29	03.07.2018	Ein	5,800	Nein	7,967	14,50	4,174	6756,4	4,174	6756,4	Eingang	0,00024	0,0060	0,088	0,00	48,00	3	3,290	1,908	11,32	21,60	2,711	0,0017	0,0036	0,152	03.07.2018
11,68776169	48,43834214	STRIEGELFELD 1	18/07/03-14:11:45	Barley - Winter	8	1,006	255,50	1,000	512,24	03.07.2018	Ein	5,800	Nein	9,064	14,50	4,315	6984,4	4,315	6984,4	Eingang	-0,00042	0,0070	0,083	0,00	49,00	3	3,622	2,101	12,00	25,20	2,780	0,0017	0,0041	0,144	03.07.2018
11,68774817	48,43834099	STRIEGELFELD 1	18/07/03-14:11:45	Barley - Winter	9	1,201	264,40	1,000	512,20	03.07.2018	Ein	5,800	Nein	10,04	14,50	4,002	6477,9	4,002	6477,9	Eingang	-0,00052	0,0080	0,087	0,00	50,00	3	4,324	2,508	11,48	28,80	2,869	0,0018	0,0045	0,150	03.07.2018
11,68773199	48,43833975	STRIEGELFELD 1	18/07/03-14:11:45	Barley - Winter	10	1,166	263,20	1,000	512,13	03.07.2018	Ein	5,800	Nein	10,67	4,800	4,382	7092,5	4,382	7092,5	Eingang	-0,00016	0,0080	0,085	0,00	49,00	3	4,198	2,435	11,83	28,80	2,699	0,0017	0,0048	0,146	03.07.2018
11,68771446	48,43833773	STRIEGELFELD 1	18/07/03-14:11:45	Barley - Winter	11	1,208	259,60	1,000	512,05	03.07.2018	Ein	5,800	Nein	11,27	7,400	4,467	7229,9	4,467	7229,9	Eingang	0,00014	0,0080	0,088	0,00	49,00	3	4,349	2,522	11,42	28,80	2,556	0,0016	0,0051	0,151	03.07.2018
11,68769698	48,43833623	STRIEGELFELD 1	18/07/03-14:11:45	Barley - Winter	12	1,258	263,10	1,000	511,98	03.07.2018	Ein	5,800	Nein	11,38	10,00	4,333	7013,4	4,333	7013,4	Eingang	-0,00020	0,0080	0,091	0,00	49,00	3	4,529	2,627	10,96	28,80	2,530	0,0016	0,0051	0,157	03.07.2018
11,68768029	48,43833572	STRIEGELFELD 1	18/07/03-14:11:45	Barley - Winter	13	1,278	268,10	1,000	511,92	03.07.2018	Ein	5,800	Nein	10,69	12,20	4,006	6483,4	4,006	6483,4	Eingang	-7,443e-05	0,0080	0,093	0,00	51,00	3	4,601	2,668	10,79	28,80	2,694	0,0017	0,0048	0,160	03.07.2018
11,68766371	48,43833516	STRIEGELFELD 1	18/07/03-14:11:45	Barley - Winter	14	1,259	267,00	1,000	511,86	03.07.2018	Ein	5,800	Nein	11,17	13,30	4,250	6878,4	4,250	6878,4	Eingang	6,045e-05	0,0080	0,091	0,00	50,00	3	4,532	2,629	10,96	28,80	2,578	0,0016	0,0050	0,157	03.07.2018
