Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Fruchtdurchs. (V)(m³/s)	Datum
11.73141913	48.42964983	I	18/07/28-11:38:09	WEIZEN	1	0.306	10	1	487.47	2018-07-28	Ein	5.9	Nein	2.943	18.4	4.529	5864	4.272	5531.8	Eingang	-0.00009572	1	1.102	0.65	0.0011	2018-07-28
11.73141969	48.42965197	I	18/07/28-11:38:09	WEIZEN	2	0.306	12.1	1	487.49	2018-07-28	Ein	5.9	Nein	4.374	18.4	6.73	8714.5	6.349	8220.8	Eingang	0.00017	1	1.102	0.65	0.0016	2018-07-28
11.73142046	48.42965436	I	18/07/28-11:38:09	WEIZEN	3	0.306	9.5	1	487.5	2018-07-28	Ein	5.9	Nein	8.462	18.4	13.02	16859	12.28	15904	Eingang	-0.00019	1	1.102	0.65	0.003	2018-07-28
11.73142106	48.42965675	I	18/07/28-11:38:09	WEIZEN	4	0.306	13.2	1	487.53	2018-07-28	Ein	5.9	Nein	11.81	18.4	18.18	23537	17.15	22204	Eingang	0.00028	1	1.102	0.65	0.0042	2018-07-28
11.73142492	48.42966974	I	18/07/28-11:38:09	WEIZEN	5	0.472	14.7	1	487.61	2018-07-28	Ein	5.9	Nein	18.75	18.5	18.7	24217	17.62	22817	Eingang	-0.00012	1	1.699	1.003	0.0067	2018-07-28
11.73142752	48.42967637	I	18/07/28-11:38:09	WEIZEN	6	0.556	9.6	1	487.65	2018-07-28	Ein	5.9	Nein	20.02	18.5	16.95	21946	15.97	20678	Eingang	-0.00019	1	2.002	1.181	0.0072	2018-07-28
11.73142952	48.42968423	I	18/07/28-11:38:09	WEIZEN	7	0.917	10.5	1	487.7	2018-07-28	Ein	5.9	Nein	21.14	17.9	10.85	14051	10.3	13336	Eingang	0.00046	1	3.301	1.948	0.0076	2018-07-28
11.73143173	48.42969217	I	18/07/28-11:38:09	WEIZEN	8	0.944	12.1	1	487.75	2018-07-28	Ein	5.9	Nein	20.59	17.7	10.27	13298	9.772	12653	Eingang	0.0004	1	3.398	2.005	0.0074	2018-07-28
11.7314346	48.42970104	I	18/07/28-11:38:09	WEIZEN	9	0.972	8.4	1	487.79	2018-07-28	Ein	5.9	Nein	21.75	17.9	10.54	13642	10	12948	Eingang	-0.00045	1	3.499	2.065	0.0078	2018-07-28
11.73143669	48.42971053	I	18/07/28-11:38:09	WEIZEN	10	1.056	6.6	1	487.83	2018-07-28	Ein	5.9	Nein	22.27	18	9.928	12855	9.411	12186	Eingang	0.00022	1	3.802	2.243	0.008	2018-07-28
