Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Kraftstoffverbrauch(L)	Kraftst.eff. (A)(ha/L)	Mot.-Leist.(W)	Mtr.belast.(%)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Kraftst.verbr. (F)(L/ha)	Kraftst.verbr. (Z)(L/h)	Kraftst.verbr. (M)(L/tonne)	Kraftst.verbr. (V)(L/L)	Fruchtdurchs. (V)(m³/s)	Kraftstoffeff.(km/L)	Datum
11,70556691	48,40067739	D>8	18/07/27-19:18:43	WEIZEN	1	0,888	118,20	1,000	478,43	27.07.2018	Ein	5,800	Nein	1,002	13,10	0,541	700,04	0,541	700,04	Eingang	-5,852e-05	0,0080	0,064	0,00	44,00	1	3,197	1,854	15,53	28,80	28,73	0,022	0,00036	0,111	27.07.2018
11,70558154	48,40067478	D>8	18/07/27-19:18:43	WEIZEN	2	0,858	101,80	1,000	478,40	27.07.2018	Ein	5,800	Nein	1,973	13,10	1,101	1425,7	1,101	1425,7	Eingang	-0,00030	0,0070	0,071	0,00	48,00	1	3,089	1,792	14,07	25,20	12,78	0,0099	0,00071	0,123	27.07.2018
11,70559548	48,40067146	D>8	18/07/27-19:18:43	WEIZEN	3	0,920	111,40	1,000	478,38	27.07.2018	Ein	5,800	Nein	1,746	13,10	0,909	1177,0	0,909	1177,0	Eingang	-0,00044	0,0070	0,076	0,00	46,00	1	3,312	1,921	13,12	25,20	14,43	0,011	0,00063	0,131	27.07.2018
11,70560331	48,40066713	D>8	18/07/27-19:18:43	WEIZEN	4	0,634	135,10	1,000	478,40	27.07.2018	Ein	5,800	Nein	1,617	13,10	1,221	1581,4	1,221	1581,4	Eingang	-0,00043	0,0070	0,053	0,00	39,00	1	2,282	1,324	19,04	25,20	15,59	0,012	0,00058	0,091	27.07.2018
11,70561227	48,40066284	D>8	18/07/27-19:18:43	WEIZEN	5	0,755	122,40	1,000	478,38	27.07.2018	Ein	5,800	Nein	2,265	13,00	1,437	1860,6	1,437	1860,6	Eingang	-1,861e-05	0,0060	0,073	0,00	44,00	1	2,718	1,576	13,70	21,60	9,535	0,0074	0,00081	0,126	27.07.2018
11,70562078	48,40066024	D>8	18/07/27-19:18:43	WEIZEN	6	0,529	111,10	1,000	478,35	27.07.2018	Ein	5,800	Nein	3,199	13,20	2,896	3750,0	2,896	3750,0	Eingang	-5,166e-05	0,0070	0,044	0,00	50,00	1	1,904	1,105	22,81	25,20	7,878	0,0061	0,0012	0,076	27.07.2018
11,70562906	48,40065789	D>8	18/07/27-19:18:43	WEIZEN	7	0,803	114,00	1,000	478,34	27.07.2018	Ein	5,800	Nein	3,678	13,40	2,194	2840,5	2,194	2840,5	Eingang	-0,00045	0,0080	0,058	0,00	55,00	1	2,891	1,677	17,18	28,80	7,830	0,0060	0,0013	0,100	27.07.2018
11,70563958	48,40065364	D>8	18/07/27-19:18:43	WEIZEN	8	0,861	123,20	1,000	478,34	27.07.2018	Ein	5,800	Nein	5,432	13,90	3,022	3912,5	3,008	3894,4	Eingang	-0,0011	0,0090	0,055	0,00	51,00	1	3,100	1,798	18,02	32,40	5,964	0,0046	0,0020	0,096	27.07.2018
11,70564915	48,40064953	D>8	18/07/27-19:18:43	WEIZEN	9	0,889	122,80	1,000	478,36	27.07.2018	Ein	5,800	Nein	8,135	14,90	4,383	5674,7	4,312	5582,9	Eingang	-0,00056	0,0080	0,064	0,00	50,00	1	3,200	1,856	15,52	28,80	3,540	0,0027	0,0029	0,111	27.07.2018
11,70565877	48,40064556	D>8	18/07/27-19:18:43	WEIZEN	10	1,064	121,60	1,000	478,38	27.07.2018	Ein	5,800	Nein	10,65	14,20	4,793	6205,7	4,754	6155,5	Eingang	-5,346e-05	0,0080	0,077	0,00	50,00	1	3,830	2,222	12,96	28,80	2,705	0,0021	0,0038	0,133	27.07.2018
11,70567261	48,40064115	D>8	18/07/27-19:18:43	WEIZEN	11	1,129	114,20	1,000	478,35	27.07.2018	Ein	5,800	Nein	9,814	14,20	4,163	5390,5	4,129	5346,8	Eingang	-0,00080	0,0080	0,082	0,00	48,00	1	4,064	2,357	12,22	28,80	2,935	0,0023	0,0035	0,141	27.07.2018
11,70568778	48,40063741	D>8	18/07/27-19:18:43	WEIZEN	12	1,086	109,60	1,000	478,31	27.07.2018	Ein	5,800	Nein	8,601	14,60	3,793	4911,5	3,745	4849,0	Eingang	-0,00029	0,0080	0,079	0,00	52,00	1	3,910	2,268	12,70	28,80	3,348	0,0026	0,0031	0,136	27.07.2018
11,70570136	48,40063374	D>8	18/07/27-19:18:43	WEIZEN	13	1,111	112,70	1,000	478,30	27.07.2018	Ein	5,800	Nein	6,382	14,20	2,751	3562,4	2,729	3533,5	Eingang	-0,0011	0,0080	0,081	0,00	51,00	1	4,000	2,320	12,42	28,80	4,513	0,0035	0,0023	0,139	27.07.2018
11,70571448	48,40062968	D>8	18/07/27-19:18:43	WEIZEN	14	0,919	115,50	1,000	478,30	27.07.2018	Ein	5,800	Nein	5,444	14,40	2,837	3673,5	2,808	3635,3	Eingang	-0,00025	0,0090	0,059	0,00	73,00	1	3,308	1,919	16,88	32,40	5,952	0,0046	0,0020	0,102	27.07.2018
11,70571853	48,40062833	D>8	18/07/27-19:18:43	WEIZEN	15	0,139	118,50	1,000	478,29	27.07.2018	Ein	5,800	Nein	5,888	14,50	20,29	26268	20,05	25964	Eingang	-2,067e-05	0,012	0,0067	0,00	59,00	1	0,500	0,290	148,85	43,20	7,337	0,0057	0,0021	0,012	27.07.2018
