Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Fruchtdurchs. (V)(m³/s)	Datum
11.72616224	48.3825637	HEINDLACKER	18/07/20-14:35:30	WEIZEN	9223	0.528	345.1	1	444.24	2018-07-20	Ein	5.9	Nein	2.334	13.5	2.081	2694.7	2.081	2694.7	Eingang	-0.0004	158	1.901	1.121	0.00084	2018-07-20
11.72616016	48.38256891	HEINDLACKER	18/07/20-14:35:30	WEIZEN	9224	0.528	345.8	1	443.81	2018-07-20	Ein	5.9	Nein	1.443	13.5	1.287	1665.8	1.287	1665.8	Eingang	-0.00076	158	1.901	1.121	0.00052	2018-07-20
11.72615825	48.38257381	HEINDLACKER	18/07/20-14:35:30	WEIZEN	9225	0.528	341	1	443.55	2018-07-20	Ein	5.9	Nein	0.721	13.5	0.643	832.9	0.643	832.9	Eingang	-0.00096	158	1.901	1.121	0.00026	2018-07-20
11.72615614	48.38257785	HEINDLACKER	18/07/20-14:35:30	WEIZEN	9226	0.472	336.9	1	443.4	2018-07-20	Ein	5.9	Nein	0.339	13.5	0.339	438.46	0.339	438.46	Eingang	-0.00065	158	1.699	1.003	0.00012	2018-07-20
11.72615398	48.38258118	HEINDLACKER	18/07/20-14:35:30	WEIZEN	9227	0.472	348.4	1	443.31	2018-07-20	Ein	5.9	Nein	0.339	13.5	0.339	438.46	0.339	438.46	Eingang	-0.0011	158	1.699	1.003	0.00012	2018-07-20
11.72615292	48.38258462	HEINDLACKER	18/07/20-14:35:30	WEIZEN	9228	0.444	354.7	1	443.29	2018-07-20	Ein	5.9	Nein	1.528	13.5	1.62	2097.5	1.62	2097.5	Eingang	-0.0012	158	1.598	0.943	0.00055	2018-07-20
11.72615227	48.38258891	HEINDLACKER	18/07/20-14:35:30	WEIZEN	9229	0.5	339	1	443.3	2018-07-20	Ein	5.9	Nein	2.461	13.5	2.318	3000.8	2.318	3000.8	Eingang	-0.00052	158	1.8	1.062	0.00089	2018-07-20
11.72614738	48.38259358	HEINDLACKER	18/07/20-14:35:30	WEIZEN	9230	0.472	210	1	443.32	2018-07-20	Ein	5.9	Nein	4.328	13.5	4.317	5590.3	4.317	5590.3	Eingang	-0.00054	159	1.699	1.003	0.0016	2018-07-20
11.72614376	48.38258789	HEINDLACKER	18/07/20-14:35:30	WEIZEN	9231	0.528	307.2	1	445.4	2018-07-20	Ein	5.9	Ja	5.304	13.5	4.73	6124.3	4.73	6124.3	Eingang	-0.00026	159	1.901	1.121	0.0019	2018-07-20
11.72614024	48.38258972	HEINDLACKER	18/07/20-14:35:30	WEIZEN	9232	0.472	357.6	1	445.38	2018-07-20	Ein	5.9	Ja	6.62	13.5	6.603	8549.9	6.603	8549.9	Eingang	-0.00041	160	1.699	1.003	0.0024	2018-07-20
