Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Kraftstoffverbrauch(L)	Kraftst.eff. (A)(ha/L)	Mot.-Leist.(W)	Mtr.belast.(%)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Kraftst.verbr. (F)(L/ha)	Kraftst.verbr. (Z)(L/h)	Kraftst.verbr. (M)(L/tonne)	Kraftst.verbr. (V)(L/L)	Fruchtdurchs. (V)(m³/s)	Kraftstoffeff.(km/L)	Datum
11.71338822	48.43734865	FELDHOF	18/07/28-16:01:41	WEIZEN	966	0.196	349.3	0.7	493.08	2018-07-28	Ein	5.8	Nein	0.592	18.1	1.012	1310	0.958	1240.4	Eingang	0.00019	0.006	0.019	0	37	84	1.008	0.585	52.78	30.86	52.17	0.04	0.00021	0.033	2018-07-28
11.71338768	48.4373509	FELDHOF	18/07/28-16:01:41	WEIZEN	967	0.331	356.3	1	493.06	2018-07-28	Ein	5.8	Nein	0.747	18.1	1.081	1399.8	1.024	1325.4	Eingang	-0.00000617	0.006	0.032	0	39	84	1.192	0.691	31.25	21.6	28.91	0.022	0.00027	0.055	2018-07-28
11.7133875	48.43735271	FELDHOF	18/07/28-16:01:41	WEIZEN	968	0.305	356.3	1	493.07	2018-07-28	Ein	5.8	Nein	1.152	18.1	1.809	2342	1.713	2217.5	Eingang	0.00036	0.006	0.029	0	39	84	1.098	0.637	33.92	21.6	18.75	0.014	0.00041	0.051	2018-07-28
11.71338734	48.43735631	FELDHOF	18/07/28-16:01:41	WEIZEN	969	0.474	359.4	1	493.15	2018-07-28	Ein	5.8	Nein	1.214	18.1	1.227	1588.4	1.162	1504	Eingang	0.0000732	0.006	0.046	0	38	84	1.706	0.99	21.82	21.6	17.79	0.014	0.00044	0.079	2018-07-28
11.71338696	48.43736099	FELDHOF	18/07/28-16:01:41	WEIZEN	970	0.444	355.3	1	493.18	2018-07-28	Ein	5.8	Nein	1.308	18.1	1.41	1826.2	1.335	1729.1	Eingang	0.00015	0.006	0.043	0	37	84	1.598	0.927	23.3	21.6	16.52	0.013	0.00047	0.074	2018-07-28
11.71338729	48.43736491	FELDHOF	18/07/28-16:01:41	WEIZEN	971	0.613	8.8	1	493.2	2018-07-28	Ein	5.8	Nein	1.93	18.1	1.508	1952.6	1.428	1848.8	Eingang	0.00025	0.006	0.059	0	45	84	2.207	1.28	16.88	21.6	11.19	0.0086	0.00069	0.102	2018-07-28
11.71338845	48.43736882	FELDHOF	18/07/28-16:01:41	WEIZEN	972	0.528	12.9	1	493.23	2018-07-28	Ein	5.8	Nein	3.053	18	2.77	3586	2.625	3399.5	Eingang	-0.00022	0.007	0.044	0	50	84	1.901	1.102	22.86	25.2	8.253	0.0064	0.0011	0.075	2018-07-28
11.71338542	48.43737508	FELDHOF	18/07/28-16:01:41	WEIZEN	973	0.831	327.1	1	493.32	2018-07-28	Ein	5.8	Nein	3.705	18.1	2.135	2764.6	2.022	2617.6	Eingang	0.00001655	0.008	0.06	0	52	84	2.992	1.735	16.6	28.8	7.774	0.006	0.0013	0.104	2018-07-28
11.71338071	48.43738021	FELDHOF	18/07/28-16:01:41	WEIZEN	974	0.779	329.3	1	493.4	2018-07-28	Ein	5.8	Nein	5.168	18.1	3.177	4113.9	3.008	3895.1	Eingang	0.00017	0.008	0.056	0	48	84	2.804	1.627	17.71	28.8	5.573	0.0043	0.0019	0.097	2018-07-28
11.71337833	48.43738627	FELDHOF	18/07/28-16:01:41	WEIZEN	975	0.775	350.6	1	493.46	2018-07-28	Ein	5.8	Nein	7.378	18.1	4.56	5903.8	4.317	5589.8	Eingang	-0.00013	0.007	0.064	0	49	84	2.79	1.618	15.57	25.2	3.415	0.0026	0.0027	0.111	2018-07-28
