Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Kraftstoffverbrauch(L)	Kraftst.eff. (A)(ha/L)	Mot.-Leist.(W)	Mtr.belast.(%)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Kraftst.verbr. (F)(L/ha)	Kraftst.verbr. (Z)(L/h)	Kraftst.verbr. (M)(L/tonne)	Kraftst.verbr. (V)(L/L)	Fruchtdurchs. (V)(m³/s)	Kraftstoffeff.(km/L)	Datum
11.71262376	48.43739484	FELDHOF	18/07/28-16:01:41	WEIZEN	1465	0.97	319.3	0.8	496.37	2018-07-28	Ein	5.8	Nein	8.038	19	3.175	4110.9	2.973	3849.6	Eingang	-0.000032	0.008	0.07	0	50	112	4.365	2.532	14.22	36	4.479	0.0035	0.0029	0.121	2018-07-28
11.7126143	48.43740315	FELDHOF	18/07/28-16:01:41	WEIZEN	1466	1.198	323.7	1	496.47	2018-07-28	Ein	5.8	Nein	10.41	18.7	4.162	5389.5	3.912	5065.5	Eingang	0.00048	0.008	0.087	0	49	112	4.313	2.501	11.51	28.8	2.766	0.0021	0.0037	0.15	2018-07-28
11.71260882	48.43741069	FELDHOF	18/07/28-16:01:41	WEIZEN	1467	1.109	336.9	1	496.56	2018-07-28	Ein	5.8	Nein	12.08	18.8	5.215	6752.4	4.895	6338.7	Eingang	0.00032	0.008	0.08	0	50	112	3.992	2.316	12.44	28.8	2.385	0.0018	0.0043	0.139	2018-07-28
11.71260344	48.43741833	FELDHOF	18/07/28-16:01:41	WEIZEN	1468	1.056	334.4	1	496.66	2018-07-28	Ein	5.8	Nein	13.08	19	5.931	7679.4	5.554	7191.1	Eingang	-0.00065	0.008	0.077	0	52	112	3.802	2.205	13.06	28.8	2.202	0.0017	0.0047	0.132	2018-07-28
11.71259759	48.43742642	FELDHOF	18/07/28-16:01:41	WEIZEN	1469	1.062	334.4	1	496.73	2018-07-28	Ein	5.8	Nein	14.15	19.1	6.38	8261.4	5.967	7726.5	Eingang	0.00016	0.008	0.077	0	54	112	3.823	2.217	12.99	28.8	2.036	0.0016	0.0051	0.133	2018-07-28
11.71259199	48.43743482	FELDHOF	18/07/28-16:01:41	WEIZEN	1470	1.049	336.6	1	496.79	2018-07-28	Ein	5.8	Nein	15.85	18.3	7.238	9371.5	6.836	8851.4	Eingang	0.0002	0.009	0.068	0	51	112	3.776	2.19	14.79	32.4	2.044	0.0016	0.0057	0.117	2018-07-28
11.7125865	48.43744386	FELDHOF	18/07/28-16:01:41	WEIZEN	1471	1.06	338.3	1	496.86	2018-07-28	Ein	5.8	Nein	16.18	17.4	7.312	9467.1	6.982	9040.2	Eingang	0.00006937	0.009	0.068	0	55	112	3.816	2.213	14.64	32.4	2.002	0.0015	0.0058	0.118	2018-07-28
11.71258107	48.4374543	FELDHOF	18/07/28-16:01:41	WEIZEN	1472	1.277	341.5	1	496.95	2018-07-28	Ein	5.8	Nein	19.14	17.5	7.179	9295.2	6.847	8865.3	Eingang	0.00032	0.009	0.082	0	55	112	4.597	2.666	12.15	32.4	1.693	0.0013	0.0069	0.142	2018-07-28
11.71257648	48.43746601	FELDHOF	18/07/28-16:01:41	WEIZEN	1473	1.389	346.1	1	497.04	2018-07-28	Ein	5.8	Nein	21.41	17.6	7.381	9557.6	7.032	9104.6	Eingang	0.00006316	0.01	0.081	0	59	112	5	2.9	12.41	36	1.682	0.0013	0.0077	0.139	2018-07-28
11.71257274	48.43747802	FELDHOF	18/07/28-16:01:41	WEIZEN	1474	1.403	348.7	1	497.12	2018-07-28	Ein	5.8	Nein	23.09	17.3	7.881	10204	7.535	9755.8	Eingang	0.00004084	0.01	0.081	0	55	112	5.051	2.929	12.29	36	1.559	0.0012	0.0083	0.14	2018-07-28
11.71257053	48.43749038	FELDHOF	18/07/28-16:01:41	WEIZEN	1475	1.4	354	1	497.17	2018-07-28	Ein	5.8	Nein	24.06	17.6	8.232	10659	7.842	10154	Eingang	0.00014	0.009	0.09	0	59	112	5.04	2.923	11.08	32.4	1.346	0.001	0.0087	0.156	2018-07-28
11.71257044	48.43750334	FELDHOF	18/07/28-16:01:41	WEIZEN	1476	1.503	0.6	1	497.22	2018-07-28	Ein	5.8	Nein	25.96	17.2	8.271	10710	7.917	10251	Eingang	0.00007277	0.01	0.087	0	57	112	5.411	3.138	11.47	36	1.387	0.0011	0.0093	0.15	2018-07-28
