Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Fruchtdurchs. (V)(m³/s)	Datum
11.68163193	48.40169261	WACHINGER	18/07/27-19:02:41	WEIZEN	3366	1.194	337.7	1	500.23	2018-07-27	Ein	5.9	Nein	2.21	13.3	0.871	1128.3	0.871	1128.3	Eingang	0.00041	80	4.298	2.536	0.00079	2018-07-27
11.68162536	48.4017031	WACHINGER	18/07/27-19:02:41	WEIZEN	3367	1.139	330.8	1	500.26	2018-07-27	Ein	5.9	Nein	9.52	13.3	3.935	5095.1	3.935	5095.1	Eingang	-0.00018	80	4.1	2.419	0.0034	2018-07-27
11.68161817	48.40171165	WACHINGER	18/07/27-19:02:41	WEIZEN	3368	1.25	331.5	1	500.31	2018-07-27	Ein	5.9	Nein	12.01	13	4.524	5857.8	4.524	5857.8	Eingang	0.0002	80	4.5	2.655	0.0043	2018-07-27
11.68161176	48.40171947	WACHINGER	18/07/27-19:02:41	WEIZEN	3369	0.944	331.6	1	500.38	2018-07-27	Ein	5.9	Nein	12.95	13	6.458	8361.8	6.458	8361.8	Eingang	0.00014	80	3.398	2.005	0.0047	2018-07-27
11.68160817	48.40172385	WACHINGER	18/07/27-19:02:41	WEIZEN	3370	0.417	326.6	1	500.42	2018-07-27	Ein	5.9	Nein	12.3	13.1	13.89	17982	13.89	17982	Eingang	0.00041	80	1.501	0.886	0.0044	2018-07-27
11.68160441	48.40172764	WACHINGER	18/07/27-19:02:41	WEIZEN	3371	0.611	326.5	1	500.47	2018-07-27	Ein	5.9	Nein	13.15	13.1	10.13	13122	10.13	13122	Eingang	0.00041	80	2.2	1.298	0.0047	2018-07-27
11.68159966	48.4017324	WACHINGER	18/07/27-19:02:41	WEIZEN	3372	0.75	325.8	1	500.52	2018-07-27	Ein	5.9	Nein	13.99	13.2	8.784	11373	8.784	11373	Eingang	0.0001	80	2.7	1.593	0.005	2018-07-27
11.68159373	48.40173819	WACHINGER	18/07/27-19:02:41	WEIZEN	3373	0.75	324.3	1	500.55	2018-07-27	Ein	5.9	Nein	13.78	13.2	8.65	11200	8.65	11200	Eingang	0.00079	80	2.7	1.593	0.005	2018-07-27
11.68158608	48.40174525	WACHINGER	18/07/27-19:02:41	WEIZEN	3374	1.028	323.2	1	500.58	2018-07-27	Ein	5.9	Nein	13.78	13.2	6.311	8171.5	6.311	8171.5	Eingang	0.00056	80	3.701	2.183	0.005	2018-07-27
11.68157649	48.40175376	WACHINGER	18/07/27-19:02:41	WEIZEN	3375	1.222	318.5	1	500.64	2018-07-27	Ein	5.9	Nein	14.28	12.9	5.502	7123.5	5.502	7123.5	Eingang	-0.00021	80	4.399	2.596	0.0051	2018-07-27
11.68156475	48.40176259	WACHINGER	18/07/27-19:02:41	WEIZEN	3376	1.278	316.3	1	500.7	2018-07-27	Ein	5.9	Nein	14.61	13	5.382	6968.9	5.382	6968.9	Eingang	0.00003871	80	4.601	2.714	0.0053	2018-07-27
11.68155346	48.40177043	WACHINGER	18/07/27-19:02:41	WEIZEN	3377	1.25	317.6	1	500.75	2018-07-27	Ein	5.9	Nein	15.97	13	6.016	7789.7	6.016	7789.7	Eingang	0.00036	80	4.5	2.655	0.0057	2018-07-27
