Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Fruchtdurchs. (V)(m³/s)	Datum
11.73117391	48.43314732	I	18/07/28-11:38:09	WEIZEN	5397	0.528	357.9	1	485.78	2018-07-28	Ein	5.9	Nein	6.33	16	5.644	7308	5.481	7096.8	Eingang	0.00007577	127	1.901	1.121	0.0023	2018-07-28
11.73117369	48.43315119	I	18/07/28-11:38:09	WEIZEN	5398	0.472	5.7	1	485.78	2018-07-28	Ein	5.9	Nein	9.37	16	9.346	12101	9.076	11751	Eingang	-0.00069	127	1.699	1.003	0.0034	2018-07-28
11.73117417	48.43315439	I	18/07/28-11:38:09	WEIZEN	5399	0.444	4.4	1	485.8	2018-07-28	Ein	5.9	Nein	10.41	16	11.04	14294	10.72	13881	Eingang	-0.00009744	127	1.598	0.943	0.0037	2018-07-28
11.73117485	48.43316064	I	18/07/28-11:38:09	WEIZEN	5400	0.417	19.1	1	485.76	2018-07-28	Ein	5.9	Nein	10.7	16	12.08	15645	11.73	15193	Eingang	0.00006457	127	1.501	0.886	0.0038	2018-07-28
11.73117844	48.43316759	I	18/07/28-11:38:09	WEIZEN	5401	0.611	29.6	1	485.65	2018-07-28	Ein	5.9	Nein	10.66	16	8.214	10636	7.977	10329	Eingang	-0.00021	127	2.2	1.298	0.0038	2018-07-28
11.73118184	48.4331719	I	18/07/28-11:38:09	WEIZEN	5402	0.5	354.1	1	485.66	2018-07-28	Ein	5.9	Nein	10.58	16	9.96	12896	9.672	12523	Eingang	-0.00027	127	1.8	1.062	0.0038	2018-07-28
11.73118123	48.43317581	I	18/07/28-11:38:09	WEIZEN	5403	0.556	358.1	1	485.71	2018-07-28	Ein	5.9	Nein	11.33	16	9.591	12419	9.314	12060	Eingang	0.00005463	127	2.002	1.181	0.0041	2018-07-28
11.73118098	48.43318093	I	18/07/28-11:38:09	WEIZEN	5404	0.667	2.9	1	485.73	2018-07-28	Ein	5.9	Nein	12.03	16	8.495	10999	8.249	10681	Eingang	-0.00027	127	2.401	1.417	0.0043	2018-07-28
11.73118143	48.43318706	I	18/07/28-11:38:09	WEIZEN	5405	0.75	12.7	1	485.73	2018-07-28	Ein	5.9	Nein	14.16	16	8.888	11508	8.631	11176	Eingang	0.00028	127	2.7	1.593	0.0051	2018-07-28
11.7311838	48.4331941	I	18/07/28-11:38:09	WEIZEN	5406	0.806	13.6	1	485.75	2018-07-28	Ein	5.9	Nein	17.53	16	10.24	13260	9.945	12877	Eingang	-0.00054	127	2.902	1.712	0.0063	2018-07-28
