Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Kraftstoffverbrauch(L)	Kraftst.eff. (A)(ha/L)	Mot.-Leist.(W)	Mtr.belast.(%)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Kraftst.verbr. (F)(L/ha)	Kraftst.verbr. (Z)(L/h)	Kraftst.verbr. (M)(L/tonne)	Kraftst.verbr. (V)(L/L)	Fruchtdurchs. (V)(m³/s)	Kraftstoffeff.(km/L)	Datum
11,73879915	48,43575668	>6	18/07/28-12:42:03	WEIZEN	1	1,073	271,90	1,000	475,81	28.07.2018	Ein	5,800	Nein	4,483	17,20	2,001	2590,8	1,915	2480,0	Eingang	0,00	0,0070	0,089	0,00	45,00	2	3,863	2,240	11,25	25,20	5,621	0,0043	0,0016	0,153	28.07.2018
11,73878192	48,43575704	>6	18/07/28-12:42:03	WEIZEN	2	1,264	271,80	1,000	475,81	28.07.2018	Ein	5,800	Nein	9,276	16,80	3,515	4551,0	3,381	4377,4	Eingang	-1,231e-05	0,0070	0,105	0,00	38,00	2	4,550	2,639	9,548	25,20	2,717	0,0021	0,0033	0,181	28.07.2018
11,73876381	48,43575750	>6	18/07/28-12:42:03	WEIZEN	3	1,249	272,30	1,000	475,82	28.07.2018	Ein	5,800	Nein	14,58	16,30	5,592	7240,6	5,411	7006,2	Eingang	0,0012	0,0060	0,121	0,00	40,00	2	4,496	2,608	8,282	21,60	1,481	0,0011	0,0052	0,208	28.07.2018
11,73874482	48,43575847	>6	18/07/28-12:42:03	WEIZEN	4	1,430	274,70	1,000	475,81	28.07.2018	Ein	5,800	Nein	17,76	16,40	5,947	7700,8	5,748	7442,6	Eingang	0,00099	0,0070	0,118	0,00	48,00	2	5,148	2,986	8,440	25,20	1,419	0,0011	0,0064	0,204	28.07.2018
11,73872694	48,43576118	>6	18/07/28-12:42:03	WEIZEN	5	1,434	284,20	1,000	475,80	28.07.2018	Ein	5,800	Nein	19,27	16,40	6,436	8334,0	6,221	8054,6	Eingang	0,0011	0,0080	0,104	0,00	48,00	2	5,162	2,994	9,619	28,80	1,494	0,0012	0,0069	0,179	28.07.2018
11,73870936	48,43576427	>6	18/07/28-12:42:03	WEIZEN	6	1,382	284,90	1,000	475,80	28.07.2018	Ein	5,800	Nein	19,75	16,80	6,843	8861,0	6,582	8523,0	Eingang	0,0011	0,0080	0,100	0,00	52,00	2	4,975	2,886	9,981	28,80	1,458	0,0011	0,0071	0,173	28.07.2018
11,73869121	48,43576780	>6	18/07/28-12:42:03	WEIZEN	7	1,484	286,60	1,000	475,80	28.07.2018	Ein	5,800	Nein	20,80	16,90	6,713	8692,1	6,449	8350,4	Eingang	0,00060	0,0090	0,096	0,00	57,00	2	5,342	3,099	10,46	32,40	1,558	0,0012	0,0075	0,165	28.07.2018
11,73867252	48,43577245	>6	18/07/28-12:42:03	WEIZEN	8	1,603	291,20	1,000	475,81	28.07.2018	Ein	5,800	Nein	21,82	16,80	6,520	8442,2	6,271	8120,2	Eingang	0,00049	0,0090	0,103	0,00	52,00	2	5,771	3,347	9,680	32,40	1,485	0,0011	0,0078	0,178	28.07.2018
11,73865415	48,43577791	>6	18/07/28-12:42:03	WEIZEN	9	1,526	294,60	1,000	475,82	28.07.2018	Ein	5,800	Nein	24,20	16,70	7,595	9834,1	7,314	9470,3	Eingang	0,00056	0,0090	0,098	0,00	55,00	2	5,494	3,186	10,17	32,40	1,339	0,0010	0,0087	0,170	28.07.2018
11,73863566	48,43578462	>6	18/07/28-12:42:03	WEIZEN	10	1,545	299,30	1,000	475,83	28.07.2018	Ein	5,800	Nein	27,78	16,30	8,611	11149	8,332	10788	Eingang	0,00077	0,010	0,090	0,00	60,00	2	5,562	3,226	11,16	36,00	1,296	0,0010	0,0100	0,154	28.07.2018
