Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Fruchtdurchs. (V)(m³/s)	Datum
11.7280666	48.39286901	MšHLACKER	18/07/20-19:07:13	WEIZEN	1	0.833	229.5	1	443.66	2018-07-20	Ein	5.9	Nein	7.469	13.5	4.221	5465.7	4.221	5465.7	Eingang	0.0011	2	2.999	1.769	0.0027	2018-07-20
11.728058	48.39286414	MšHLACKER	18/07/20-19:07:13	WEIZEN	2	0.806	229.1	1	443.66	2018-07-20	Ein	5.9	Nein	8.954	13.5	5.23	6772.1	5.23	6772.1	Eingang	0.00093	2	2.902	1.712	0.0032	2018-07-20
11.72804993	48.39285951	MšHLACKER	18/07/20-19:07:13	WEIZEN	3	0.806	232.6	1	443.66	2018-07-20	Ein	5.9	Nein	10.23	13.5	5.974	7735	5.974	7735	Eingang	0.00095	2	2.902	1.712	0.0037	2018-07-20
11.728039	48.39285392	MšHLACKER	18/07/20-19:07:13	WEIZEN	4	0.861	245.5	1	443.57	2018-07-20	Ein	5.9	Nein	11.67	13.5	6.381	8262.4	6.381	8262.4	Eingang	0.00076	2	3.1	1.829	0.0042	2018-07-20
11.72802715	48.39285033	MšHLACKER	18/07/20-19:07:13	WEIZEN	5	0.861	254.4	1	443.52	2018-07-20	Ein	5.9	Nein	13.45	13.5	7.356	9524.3	7.356	9524.3	Eingang	0.0011	2	3.1	1.829	0.0048	2018-07-20
11.72801554	48.39284816	MšHLACKER	18/07/20-19:07:13	WEIZEN	6	0.806	243.8	1	443.5	2018-07-20	Ein	5.9	Nein	14.17	13.5	8.279	10720	8.279	10720	Eingang	0.00086	2	2.902	1.712	0.0051	2018-07-20
11.72800476	48.39284464	MšHLACKER	18/07/20-19:07:13	WEIZEN	7	0.833	239.2	1	443.46	2018-07-20	Ein	5.9	Nein	14.64	13.5	8.275	10714	8.275	10714	Eingang	0.00042	2	2.999	1.769	0.0053	2018-07-20
11.72799518	48.39284093	MšHLACKER	18/07/20-19:07:13	WEIZEN	8	0.806	249.7	1	443.45	2018-07-20	Ein	5.9	Nein	16.63	13.5	9.717	12581	9.717	12581	Eingang	0.00015	2	2.902	1.712	0.006	2018-07-20
11.72798568	48.39283859	MšHLACKER	18/07/20-19:07:13	WEIZEN	9	0.917	255.5	1	443.46	2018-07-20	Ein	5.9	Nein	18.71	13.5	9.608	12441	9.608	12441	Eingang	0.00072	2	3.301	1.948	0.0067	2018-07-20
11.72797341	48.39283638	MšHLACKER	18/07/20-19:07:13	WEIZEN	10	0.917	241.9	1	443.47	2018-07-20	Ein	5.9	Nein	22.15	13.5	11.37	14726	11.37	14726	Eingang	0.00023	2	3.301	1.948	0.008	2018-07-20
11.72794899	48.39282811	MšHLACKER	18/07/20-19:07:13	WEIZEN	11	1.028	250.8	1	443.41	2018-07-20	Ein	5.9	Nein	24.82	3.2	11.37	14716	11.37	14716	Eingang	0.00018	2	3.701	2.183	0.0089	2018-07-20
