Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Fruchtdurchs. (V)(m³/s)	Datum
11.72674634	48.39102143	MšHLACKER	18/07/20-19:07:13	WEIZEN	1438	1.083	114.7	1	443.59	2018-07-20	Ein	5.9	Nein	11.89	13.9	5.168	6692	5.144	6661.1	Eingang	-0.00041	21	3.899	2.3	0.0043	2018-07-20
11.72675878	48.39101784	MšHLACKER	18/07/20-19:07:13	WEIZEN	1439	0.917	98.6	1	443.52	2018-07-20	Ein	5.9	Nein	13.83	13.9	7.103	9197.2	7.07	9154.7	Eingang	0.0011	21	3.301	1.948	0.005	2018-07-20
11.72676982	48.39101673	MšHLACKER	18/07/20-19:07:13	WEIZEN	1440	0.75	89.3	1	443.5	2018-07-20	Ein	5.9	Nein	14.5	13.6	9.104	11787	9.093	11774	Eingang	0.00053	21	2.7	1.593	0.0052	2018-07-20
11.72679214	48.39101791	MšHLACKER	18/07/20-19:07:13	WEIZEN	1441	0.861	77.8	1	443.5	2018-07-20	Ein	5.9	Nein	16.4	13.7	8.967	11610	8.946	11583	Eingang	0.00096	21	3.1	1.829	0.0059	2018-07-20
11.72680716	48.39102006	MšHLACKER	18/07/20-19:07:13	WEIZEN	1442	0.944	76.2	1	443.43	2018-07-20	Ein	5.9	Nein	19.22	13.8	9.587	12413	9.554	12370	Eingang	0.00045	21	3.398	2.005	0.0069	2018-07-20
11.72681975	48.39102213	MšHLACKER	18/07/20-19:07:13	WEIZEN	1443	0.972	85	1	443.39	2018-07-20	Ein	5.9	Nein	19.25	13.9	9.324	12073	9.281	12017	Eingang	-0.00024	21	3.499	2.065	0.0069	2018-07-20
11.72682988	48.39102275	MšHLACKER	18/07/20-19:07:13	WEIZEN	1444	0.944	89.5	1	443.46	2018-07-20	Ein	5.9	Nein	21.36	13.7	10.65	13791	10.63	13759	Eingang	0.00053	21	3.398	2.005	0.0077	2018-07-20
11.7268438	48.39102285	MšHLACKER	18/07/20-19:07:13	WEIZEN	1445	1.056	83	1	443.46	2018-07-20	Ein	5.9	Nein	21.54	13.6	9.604	12435	9.593	12421	Eingang	0.00061	21	3.802	2.243	0.0077	2018-07-20
11.72685837	48.39102404	MšHLACKER	18/07/20-19:07:13	WEIZEN	1446	1.139	82.2	1	443.47	2018-07-20	Ein	5.9	Nein	24.41	13.7	10.09	13063	10.07	13032	Eingang	0.0009	21	4.1	2.419	0.0088	2018-07-20
11.72687391	48.39102546	MšHLACKER	18/07/20-19:07:13	WEIZEN	1447	1.167	76.6	1	443.48	2018-07-20	Ein	5.9	Nein	25.13	13.7	10.14	13125	10.11	13095	Eingang	0.00082	21	4.201	2.479	0.009	2018-07-20
11.72689105	48.39102817	MšHLACKER	18/07/20-19:07:13	WEIZEN	1448	1.333	73.4	1	443.48	2018-07-20	Ein	5.9	Nein	26.99	13.7	9.533	12344	9.511	12315	Eingang	0.00043	21	4.799	2.831	0.0097	2018-07-20
11.72690809	48.39103154	MšHLACKER	18/07/20-19:07:13	WEIZEN	1449	1.333	70.9	1	443.48	2018-07-20	Ein	5.9	Nein	26.25	13.6	9.271	12004	9.26	11990	Eingang	0.00059	21	4.799	2.831	0.0094	2018-07-20
11.72692564	48.39103557	MšHLACKER	18/07/20-19:07:13	WEIZEN	1450	1.361	68.3	1	443.49	2018-07-20	Ein	5.9	Nein	27.75	13.9	9.601	12432	9.557	12374	Eingang	0.00069	21	4.9	2.891	0.01	2018-07-20
11.72694518	48.39104073	MšHLACKER	18/07/20-19:07:13	WEIZEN	1451	1.639	72.4	1	443.51	2018-07-20	Ein	5.9	Nein	29.28	13.9	8.41	10889	8.371	10839	Eingang	0.00054	21	5.9	3.481	0.011	2018-07-20
11.72696672	48.39104528	MšHLACKER	18/07/20-19:07:13	WEIZEN	1452	1.639	69.1	1	443.53	2018-07-20	Ein	5.9	Nein	30.35	14	8.719	11290	8.669	11225	Eingang	0.00054	21	5.9	3.481	0.011	2018-07-20
11.72698778	48.39105061	MšHLACKER	18/07/20-19:07:13	WEIZEN	1453	1.639	67.1	1	443.51	2018-07-20	Ein	5.9	Nein	29.89	13.8	8.587	11118	8.557	11080	Eingang	0.00074	21	5.9	3.481	0.011	2018-07-20
11.72700847	48.39105641	MšHLACKER	18/07/20-19:07:13	WEIZEN	1454	1.667	63.4	1	443.5	2018-07-20	Ein	5.9	Nein	30.12	13.9	8.508	11016	8.468	10965	Eingang	0.0012	21	6.001	3.541	0.011	2018-07-20
11.72702881	48.39106317	MšHLACKER	18/07/20-19:07:13	WEIZEN	1455	1.667	66.3	1	443.5	2018-07-20	Ein	5.9	Nein	30.12	13.9	8.508	11016	8.468	10965	Eingang	0.00066	21	6.001	3.541	0.011	2018-07-20
11.72704931	48.39106915	MšHLACKER	18/07/20-19:07:13	WEIZEN	1456	1.667	65	1	443.49	2018-07-20	Ein	5.9	Nein	31.99	13.9	9.034	11697	8.992	11643	Eingang	-0.00009909	21	6.001	3.541	0.012	2018-07-20
