Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Fruchtdurchs. (V)(m³/s)	Datum
11,73381728	48,38371984	SCHLÜTER	18/07/20-11:06:56	WEIZEN	1	0,278	327,90	1,000	443,96	20.07.2018	Ein	5,900	Nein	2,843	13,50	4,815	6234,6	4,815	6234,6	Eingang	0,0012	6	1,001	0,590	0,0010	20.07.2018
11,73381497	48,38372174	SCHLÜTER	18/07/20-11:06:56	WEIZEN	2	0,278	278,50	1,000	443,88	20.07.2018	Ein	5,900	Nein	2,207	13,50	3,737	4838,8	3,737	4838,8	Eingang	0,00056	6	1,001	0,590	0,00079	20.07.2018
11,73380990	48,38372202	SCHLÜTER	18/07/20-11:06:56	WEIZEN	3	0,306	322,50	1,000	444,22	20.07.2018	Ein	5,900	Nein	1,315	13,50	2,024	2620,7	2,024	2620,7	Eingang	0,00012	6	1,102	0,650	0,00047	20.07.2018
11,73380823	48,38372346	SCHLÜTER	18/07/20-11:06:56	WEIZEN	4	0,306	325,70	1,000	444,07	20.07.2018	Ein	5,900	Nein	0,467	13,50	0,718	929,93	0,718	929,93	Eingang	0,00054	6	1,102	0,650	0,00017	20.07.2018
11,73380350	48,38372727	SCHLÜTER	18/07/20-11:06:56	WEIZEN	5	0,333	314,70	1,000	444,00	20.07.2018	Ein	5,900	Nein	0,509	13,50	0,720	932,21	0,720	932,21	Eingang	0,00059	6	1,199	0,707	0,00018	20.07.2018
11,73380046	48,38372927	SCHLÜTER	18/07/20-11:06:56	WEIZEN	6	0,361	315,70	1,000	444,03	20.07.2018	Ein	5,900	Nein	1,952	13,50	2,546	3296,3	2,546	3296,3	Eingang	0,00086	6	1,300	0,767	0,00070	20.07.2018
11,73379663	48,38373188	SCHLÜTER	18/07/20-11:06:56	WEIZEN	7	0,417	313,50	1,000	444,02	20.07.2018	Ein	5,900	Nein	2,758	13,50	3,114	4032,3	3,114	4032,3	Eingang	0,00090	6	1,501	0,886	0,00099	20.07.2018
11,73379216	48,38373470	SCHLÜTER	18/07/20-11:06:56	WEIZEN	8	0,472	313,10	1,000	443,99	20.07.2018	Ein	5,900	Nein	3,183	13,50	3,175	4110,5	3,175	4110,5	Eingang	0,00090	6	1,699	1,003	0,0011	20.07.2018
11,73378817	48,38373719	SCHLÜTER	18/07/20-11:06:56	WEIZEN	9	0,583	312,60	1,000	443,97	20.07.2018	Ein	5,900	Nein	2,504	13,50	2,022	2618,0	2,022	2618,0	Eingang	0,00080	6	2,099	1,238	0,00090	20.07.2018
11,73378252	48,38374065	SCHLÜTER	18/07/20-11:06:56	WEIZEN	10	0,556	310,50	1,000	444,00	20.07.2018	Ein	5,900	Nein	3,140	13,50	2,659	3443,0	2,659	3443,0	Eingang	0,00027	6	2,002	1,181	0,0011	20.07.2018
11,73377473	48,38374507	SCHLÜTER	18/07/20-11:06:56	WEIZEN	11	0,556	308,30	1,000	443,99	20.07.2018	Ein	5,900	Nein	5,220	13,50	4,420	5722,8	4,420	5722,8	Eingang	0,00038	6	2,002	1,181	0,0019	20.07.2018
11,73376854	48,38374831	SCHLÜTER	18/07/20-11:06:56	WEIZEN	12	0,556	314,50	1,000	444,02	20.07.2018	Ein	5,900	Nein	5,941	13,50	5,031	6513,8	5,031	6513,8	Eingang	0,00072	6	2,002	1,181	0,0021	20.07.2018
11,73376315	48,38375182	SCHLÜTER	18/07/20-11:06:56	WEIZEN	13	0,583	311,80	1,000	444,04	20.07.2018	Ein	5,900	Nein	6,874	13,50	5,552	7188,3	5,552	7188,3	Eingang	0,00064	6	2,099	1,238	0,0025	20.07.2018
11,73375583	48,38375615	SCHLÜTER	18/07/20-11:06:56	WEIZEN	14	0,639	308,80	1,000	444,05	20.07.2018	Ein	5,900	Nein	6,196	13,50	4,565	5910,6	4,565	5910,6	Eingang	0,00081	6	2,300	1,357	0,0022	20.07.2018
11,73374783	48,38376042	SCHLÜTER	18/07/20-11:06:56	WEIZEN	15	0,722	303,00	1,000	444,03	20.07.2018	Ein	5,900	Nein	7,129	13,50	4,649	6019,4	4,649	6019,4	Eingang	0,00013	6	2,599	1,534	0,0026	20.07.2018
11,73373841	48,38376447	SCHLÜTER	18/07/20-11:06:56	WEIZEN	16	0,833	305,90	1,000	443,98	20.07.2018	Ein	5,900	Nein	5,601	13,50	3,166	4099,3	3,166	4099,3	Eingang	0,00056	6	2,999	1,769	0,0020	20.07.2018
11,73372883	48,38376908	SCHLÜTER	18/07/20-11:06:56	WEIZEN	17	0,806	316,40	1,000	443,96	20.07.2018	Ein	5,900	Nein	5,983	13,50	3,495	4525,5	3,495	4525,5	Eingang	0,00074	6	2,902	1,712	0,0022	20.07.2018
11,73372080	48,38377467	SCHLÜTER	18/07/20-11:06:56	WEIZEN	18	0,806	314,00	1,000	443,94	20.07.2018	Ein	5,900	Nein	7,341	13,50	4,288	5552,5	4,288	5552,5	Eingang	0,00021	6	2,902	1,712	0,0026	20.07.2018
11,73371243	48,38378006	SCHLÜTER	18/07/20-11:06:56	WEIZEN	19	0,806	310,20	1,000	443,94	20.07.2018	Ein	5,900	Nein	8,275	13,50	4,834	6258,6	4,834	6258,6	Eingang	2,888e-05	6	2,902	1,712	0,0030	20.07.2018
11,73370389	48,38378484	SCHLÜTER	18/07/20-11:06:56	WEIZEN	20	0,889	315,20	1,000	443,94	20.07.2018	Ein	5,900	Nein	8,275	13,50	4,382	5674,3	4,382	5674,3	Eingang	0,00046	6	3,200	1,888	0,0030	20.07.2018
11,73369635	48,38378988	SCHLÜTER	18/07/20-11:06:56	WEIZEN	21	0,833	314,50	1,000	443,95	20.07.2018	Ein	5,900	Nein	7,935	13,50	4,485	5807,3	4,485	5807,3	Eingang	0,00046	6	2,999	1,769	0,0029	20.07.2018
