Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Kraftstoffverbrauch(L)	Kraftst.eff. (A)(ha/L)	Mot.-Leist.(W)	Mtr.belast.(%)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Kraftst.verbr. (F)(L/ha)	Kraftst.verbr. (Z)(L/h)	Kraftst.verbr. (M)(L/tonne)	Kraftst.verbr. (V)(L/L)	Fruchtdurchs. (V)(m³/s)	Kraftstoffeff.(km/L)	Datum
11,66873761	48,43244689	138	18/07/30-13:33:42	WEIZEN	1	1,255	71,60	1,000	507,35	30.07.2018	Ein	5,800	Nein	2,844	14,70	1,085	1405,1	1,070	1385,6	Eingang	0,00	0,0090	0,081	0,00	48,00	1	4,518	2,620	12,36	32,40	11,39	0,0088	0,0010	0,139	30.07.2018
11,66875596	48,43244866	138	18/07/30-13:33:42	WEIZEN	2	1,243	83,40	1,000	507,32	30.07.2018	Ein	5,800	Nein	5,080	14,70	1,957	2534,5	1,930	2499,3	Eingang	0,00053	0,0080	0,090	0,00	50,00	1	4,475	2,595	11,10	28,80	5,669	0,0044	0,0018	0,155	30.07.2018
11,66877240	48,43244997	138	18/07/30-13:33:42	WEIZEN	3	1,566	83,10	1,300	507,34	30.07.2018	Ein	5,800	Nein	7,093	14,70	2,820	3651,5	2,781	3600,8	Eingang	0,00062	0,0080	0,114	0,00	50,00	1	4,337	2,515	8,808	22,15	3,123	0,0024	0,0026	0,196	30.07.2018
11,66878730	48,43245198	138	18/07/30-13:33:42	WEIZEN	4	0,901	77,40	0,700	507,40	30.07.2018	Ein	5,800	Nein	9,610	14,80	3,576	4629,9	3,522	4560,4	Eingang	0,00035	0,0080	0,065	0,00	49,00	1	4,634	2,688	15,31	41,14	4,281	0,0033	0,0035	0,113	30.07.2018
11,66880194	48,43245353	138	18/07/30-13:33:42	WEIZEN	5	1,258	81,70	1,000	507,44	30.07.2018	Ein	5,800	Nein	11,02	14,70	4,197	5433,8	4,138	5358,4	Eingang	0,0012	0,0080	0,091	0,00	49,00	1	4,529	2,627	10,96	28,80	2,613	0,0020	0,0040	0,157	30.07.2018
11,66881792	48,43245435	138	18/07/30-13:33:42	WEIZEN	6	1,250	86,30	1,000	507,44	30.07.2018	Ein	5,800	Nein	12,48	14,80	4,783	6193,0	4,711	6099,9	Eingang	0,00097	0,0080	0,091	0,00	50,00	1	4,500	2,610	11,03	28,80	2,307	0,0018	0,0045	0,156	30.07.2018
11,66883502	48,43245490	138	18/07/30-13:33:42	WEIZEN	7	1,331	87,40	1,000	507,44	30.07.2018	Ein	5,800	Nein	13,72	14,00	4,935	6390,0	4,907	6353,0	Eingang	0,00027	0,0080	0,096	0,00	54,00	1	4,792	2,779	10,36	28,80	2,100	0,0016	0,0049	0,166	30.07.2018
11,66885317	48,43245493	138	18/07/30-13:33:42	WEIZEN	8	1,365	90,30	1,000	507,39	30.07.2018	Ein	5,800	Nein	14,16	14,00	4,970	6435,1	4,941	6397,9	Eingang	0,00068	0,0090	0,088	0,00	52,00	1	4,914	2,850	11,37	32,40	2,287	0,0018	0,0051	0,152	30.07.2018
11,66887187	48,43245440	138	18/07/30-13:33:42	WEIZEN	9	1,388	92,80	1,000	507,37	30.07.2018	Ein	5,800	Nein	15,65	14,20	5,400	6992,4	5,357	6935,8	Eingang	0,00033	0,0080	0,101	0,00	50,00	1	4,997	2,898	9,937	28,80	1,840	0,0014	0,0056	0,174	30.07.2018
11,66889048	48,43245365	138	18/07/30-13:33:42	WEIZEN	10	1,405	93,60	1,000	507,36	30.07.2018	Ein	5,800	Nein	16,27	14,40	5,545	7180,1	5,488	7105,4	Eingang	-0,00014	0,0080	0,102	0,00	56,00	1	5,058	2,934	9,817	28,80	1,770	0,0014	0,0059	0,176	30.07.2018
11,66890997	48,43245266	138	18/07/30-13:33:42	WEIZEN	11	1,481	94,50	1,000	507,33	30.07.2018	Ein	5,800	Nein	17,23	14,40	5,571	7213,9	5,513	7138,9	Eingang	6,778e-05	0,0090	0,095	0,00	55,00	1	5,332	3,092	10,48	32,40	1,881	0,0015	0,0062	0,165	30.07.2018
11,66893009	48,43245136	138	18/07/30-13:33:42	WEIZEN	12	1,500	95,70	1,000	507,29	30.07.2018	Ein	5,800	Nein	17,60	14,50	5,619	7275,9	5,554	7191,8	Eingang	0,00034	0,0090	0,097	0,00	52,00	1	5,400	3,132	10,34	32,40	1,841	0,0014	0,0063	0,167	30.07.2018
11,66895045	48,43244998	138	18/07/30-13:33:42	WEIZEN	13	1,522	95,80	1,000	507,28	30.07.2018	Ein	5,800	Nein	18,09	13,70	5,693	7371,4	5,680	7354,3	Eingang	-0,00022	0,0090	0,098	0,00	52,00	1	5,479	3,178	10,20	32,40	1,791	0,0014	0,0065	0,169	30.07.2018
11,66897115	48,43244902	138	18/07/30-13:33:42	WEIZEN	14	1,568	93,70	1,000	507,25	30.07.2018	Ein	5,800	Nein	18,87	13,00	5,762	7461,3	5,762	7461,3	Eingang	-9,604e-05	0,0090	0,101	0,00	51,00	1	5,645	3,274	9,896	32,40	1,717	0,0013	0,0068	0,174	30.07.2018
11,66899159	48,43244794	138	18/07/30-13:33:42	WEIZEN	15	1,549	94,70	1,000	507,21	30.07.2018	Ein	5,800	Nein	19,44	13,30	6,010	7781,6	6,010	7781,6	Eingang	0,00068	0,0090	0,100	0,00	54,00	1	5,576	3,234	10,02	32,40	1,667	0,0013	0,0070	0,172	30.07.2018
11,66901173	48,43244648	138	18/07/30-13:33:42	WEIZEN	16	1,559	96,40	1,000	507,16	30.07.2018	Ein	5,800	Nein	20,07	13,40	6,165	7982,6	6,165	7982,6	Eingang	0,00045	0,0090	0,100	0,00	56,00	1	5,612	3,255	9,953	32,40	1,614	0,0012	0,0072	0,173	30.07.2018
11,66903235	48,43244507	138	18/07/30-13:33:42	WEIZEN	17	1,522	95,80	1,000	507,10	30.07.2018	Ein	5,800	Nein	21,28	13,50	6,696	8669,7	6,696	8669,7	Eingang	-0,00018	0,0090	0,098	0,00	55,00	1	5,479	3,178	10,20	32,40	1,523	0,0012	0,0077	0,169	30.07.2018
11,66905343	48,43244371	138	18/07/30-13:33:42	WEIZEN	18	1,563	95,60	1,000	507,04	30.07.2018	Ein	5,800	Nein	22,15	12,90	6,787	8788,5	6,787	8788,5	Eingang	0,0014	0,0090	0,101	0,00	54,00	1	5,627	3,264	9,928	32,40	1,463	0,0011	0,0080	0,174	30.07.2018
11,66907505	48,43244215	138	18/07/30-13:33:42	WEIZEN	19	1,610	96,30	1,000	506,99	30.07.2018	Ein	5,800	Nein	23,46	13,00	6,979	9036,6	6,979	9036,6	Eingang	0,0010	0,0090	0,104	0,00	54,00	1	5,796	3,362	9,638	32,40	1,381	0,0011	0,0084	0,179	30.07.2018
11,66909712	48,43244051	138	18/07/30-13:33:42	WEIZEN	20	1,641	96,40	1,000	506,93	30.07.2018	Ein	5,800	Nein	25,32	13,60	7,390	9569,0	7,382	9557,9	Eingang	0,00053	0,0090	0,106	0,00	56,00	1	5,908	3,426	9,456	32,40	1,280	0,00099	0,0091	0,182	30.07.2018
11,66911899	48,43243893	138	18/07/30-13:33:42	WEIZEN	21	1,642	96,20	1,000	506,88	30.07.2018	Ein	5,800	Nein	26,99	13,50	7,871	10191	7,871	10191	Eingang	0,00049	0,0090	0,106	0,00	54,00	1	5,911	3,428	9,450	32,40	1,201	0,00093	0,0097	0,182	30.07.2018
11,66914096	48,43243761	138	18/07/30-13:33:42	WEIZEN	22	1,627	95,10	1,000	506,82	30.07.2018	Ein	5,800	Nein	27,70	13,00	8,154	10558	8,154	10558	Eingang	0,00016	0,0090	0,105	0,00	52,00	1	5,857	3,397	9,537	32,40	1,170	0,00090	0,0100	0,181	30.07.2018
11,66916304	48,43243637	138	18/07/30-13:33:42	WEIZEN	23	1,650	94,80	1,000	506,76	30.07.2018	Ein	5,800	Nein	29,03	13,30	8,425	10909	8,425	10909	Eingang	0,0012	0,0090	0,106	0,00	54,00	1	5,940	3,445	9,404	32,40	1,116	0,00086	0,010	0,183	30.07.2018
11,66918490	48,43243480	138	18/07/30-13:33:42	WEIZEN	24	1,663	96,40	1,000	506,70	30.07.2018	Ein	5,800	Nein	29,08	13,50	8,375	10844	8,375	10844	Eingang	0,0010	0,010	0,096	0,00	55,00	1	5,987	3,472	10,37	36,00	1,238	0,00096	0,010	0,166	30.07.2018
11,66920685	48,43243335	138	18/07/30-13:33:42	WEIZEN	25	1,631	95,60	1,000	506,63	30.07.2018	Ein	5,800	Nein	30,23	13,70	8,876	11493	8,856	11467	Eingang	0,00089	0,0090	0,105	0,00	54,00	1	5,872	3,406	9,514	32,40	1,072	0,00083	0,011	0,181	30.07.2018
11,66922883	48,43243214	138	18/07/30-13:33:42	WEIZEN	26	1,673	94,60	1,000	506,56	30.07.2018	Ein	5,800	Nein	29,93	13,30	8,568	11094	8,568	11094	Eingang	0,00062	0,0090	0,108	0,00	55,00	1	6,023	3,493	9,275	32,40	1,082	0,00084	0,011	0,186	30.07.2018
11,66925063	48,43243084	138	18/07/30-13:33:42	WEIZEN	27	1,662	95,20	1,000	506,47	30.07.2018	Ein	5,800	Nein	30,48	13,00	8,784	11374	8,784	11374	Eingang	-0,00036	0,0090	0,107	0,00	55,00	1	5,983	3,470	9,336	32,40	1,063	0,00082	0,011	0,185	30.07.2018
11,66927234	48,43242933	138	18/07/30-13:33:42	WEIZEN	28	1,658	96,10	1,000	506,43	30.07.2018	Ein	5,800	Nein	30,86	12,90	8,915	11543	8,915	11543	Eingang	-9,980e-05	0,010	0,096	0,00	55,00	1	5,969	3,462	10,40	36,00	1,166	0,00090	0,011	0,166	30.07.2018
11,66929457	48,43242778	138	18/07/30-13:33:42	WEIZEN	29	1,677	96,00	1,000	506,41	30.07.2018	Ein	5,800	Nein	32,00	13,00	9,140	11835	9,140	11835	Eingang	0,00037	0,010	0,097	0,00	56,00	1	6,037	3,502	10,28	36,00	1,125	0,00087	0,012	0,168	30.07.2018
11,66931692	48,43242646	138	18/07/30-13:33:42	WEIZEN	30	1,667	95,00	1,000	506,36	30.07.2018	Ein	5,800	Nein	31,97	13,00	9,186	11894	9,186	11894	Eingang	0,00065	0,010	0,097	0,00	55,00	1	6,001	3,481	10,34	36,00	1,126	0,00087	0,011	0,167	30.07.2018
11,66933894	48,43242531	138	18/07/30-13:33:42	WEIZEN	31	1,670	94,40	1,000	506,28	30.07.2018	Ein	5,800	Nein	31,57	13,20	9,054	11723	9,054	11723	Eingang	0,00059	0,010	0,097	0,00	55,00	1	6,012	3,487	10,32	36,00	1,140	0,00088	0,011	0,167	30.07.2018
