Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Fruchtdurchs. (V)(m³/s)	Datum
11,64017018	48,40140988	5	18/07/19-16:46:55	WEIZEN	1	0,611	181,80	1,000	488,42	19.07.2018	Ein	5,900	Nein	1,523	13,90	1,174	1519,6	1,168	1512,6	Eingang	0,00	2	2,200	1,298	0,00055	19.07.2018
11,64017033	48,40140549	5	18/07/19-16:46:55	WEIZEN	2	0,556	229,30	1,000	488,43	19.07.2018	Ein	5,900	Nein	3,091	13,80	2,617	3388,8	2,608	3377,1	Eingang	0,00050	2	2,002	1,181	0,0011	19.07.2018
11,64016469	48,40140158	5	18/07/19-16:46:55	WEIZEN	3	0,417	162,50	1,000	488,48	19.07.2018	Ein	5,900	Nein	4,569	13,90	5,159	6679,8	5,135	6649,0	Eingang	0,00021	2	1,501	0,886	0,0016	19.07.2018
11,64016593	48,40139841	5	18/07/19-16:46:55	WEIZEN	4	0,472	155,80	1,000	488,52	19.07.2018	Ein	5,900	Nein	5,585	13,90	5,571	7212,9	5,545	7179,6	Eingang	0,00038	2	1,699	1,003	0,0020	19.07.2018
11,64016920	48,40139357	5	18/07/19-16:46:55	WEIZEN	5	0,472	158,20	1,000	488,51	19.07.2018	Ein	5,900	Nein	5,500	13,90	5,486	7103,6	5,461	7070,8	Eingang	-0,00014	2	1,699	1,003	0,0020	19.07.2018
11,64017216	48,40138868	5	18/07/19-16:46:55	WEIZEN	6	0,528	169,80	1,000	488,50	19.07.2018	Ein	5,900	Nein	6,346	13,90	5,659	7327,2	5,633	7293,3	Eingang	0,00031	2	1,901	1,121	0,0023	19.07.2018
11,64017341	48,40138413	5	18/07/19-16:46:55	WEIZEN	7	0,472	166,50	1,000	488,47	19.07.2018	Ein	5,900	Nein	7,531	13,90	7,512	9726,5	7,477	9681,5	Eingang	0,00049	2	1,699	1,003	0,0027	19.07.2018
11,64017585	48,40137736	5	18/07/19-16:46:55	WEIZEN	8	0,472	171,10	1,000	488,36	19.07.2018	Ein	5,900	Nein	8,504	13,90	8,483	10983	8,443	10933	Eingang	2,819e-05	2	1,699	1,003	0,0031	19.07.2018
11,64017735	48,40137101	5	18/07/19-16:46:55	WEIZEN	9	0,611	175,30	1,000	488,27	19.07.2018	Ein	5,900	Nein	9,576	13,70	7,379	9554,2	7,362	9532,2	Eingang	0,00026	2	2,200	1,298	0,0034	19.07.2018
11,64017809	48,40136512	5	18/07/19-16:46:55	WEIZEN	10	0,556	184,50	1,000	488,18	19.07.2018	Ein	5,900	Nein	10,13	13,10	8,578	11106	8,578	11106	Eingang	0,00058	2	2,002	1,181	0,0036	19.07.2018
