Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	FlÃ¤chenzÃ¤hler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Fruchtdurchs. (V)(mÂ³/s)	Datum
11.64667156	48.39874552	RK	18/07/26-17:15:02	WEIZEN	1.0	0.083	200.9	1.0	490.3	26.07.2018	Ein	5.9	Ja	0.127	13.8	0.721	932.93	0.718	929.69	Eingang	0.00033	7.0	0.299	0.17600000000000002	0.0457	26.07.2018
11.64664582	48.39869378	RK	18/07/26-17:15:02	WEIZEN	2.0	1.722	191.9	1.0	490.6	26.07.2018	Ein	5.9	Ja	1.567	13.8	0.428	554.59	0.42700000000000005	552.67	Eingang	0.0005200000000000001	7.0	6.199	3.658	0.00056	26.07.2018
11.64664231	48.3986827	RK	18/07/26-17:15:02	WEIZEN	3.0	1.25	194.0	1.0	490.63	26.07.2018	Ein	5.9	Ja	5.42	13.8	2.041	2643.0	2.0340000000000003	2633.9	Eingang	-0.00018	7.0	4.5	2.655	0.0019	26.07.2018
11.64663938	48.39867485	RK	18/07/26-17:15:02	WEIZEN	4.0	0.972	195.6	1.0	490.69	26.07.2018	Ein	5.9	Ja	7.747999999999999	13.8	3.753	4859.5	3.74	4842.6	Eingang	0.00053	7.0	3.4989999999999997	2.065	0.0028	26.07.2018
11.6466349	48.39866415	RK	18/07/26-17:15:02	WEIZEN	5.0	1.361	200.0	1.0	490.78	26.07.2018	Ein	5.9	Ja	10.46	13.8	3.6180000000000003	4684.3	3.605	4668.0	Eingang	0.00063	7.0	4.9	2.891	0.0038	26.07.2018
11.64662853	48.39865254	RK	18/07/26-17:15:02	WEIZEN	6.0	1.25	202.4	1.0	490.85	26.07.2018	Ein	5.9	Ja	10.97	13.8	4.13	5348.0	4.1160000000000005	5329.5	Eingang	0.00067	7.0	4.5	2.655	0.0039	26.07.2018
11.64662233	48.39864254	RK	18/07/26-17:15:02	WEIZEN	7.0	1.25	200.1	1.0	490.9	26.07.2018	Ein	5.9	Ja	11.26	13.8	4.242	5492.6	4.227	5473.5	Eingang	0.00047999999999999996	7.0	4.5	2.655	0.0041	26.07.2018
11.64661682	48.39863257	RK	18/07/26-17:15:02	WEIZEN	8.0	1.25	198.1	1.0	490.98	26.07.2018	Ein	5.9	Ja	11.58	13.6	4.36	5645.6	4.355	5639.0	Eingang	-0.00029	7.0	4.5	2.655	0.0042	26.07.2018
11.64661184	48.39862241	RK	18/07/26-17:15:02	WEIZEN	9.0	1.25	200.8	1.0	491.02	26.07.2018	Ein	5.9	Ja	11.97	13.5	4.507	5836.0	4.507	5836.0	Eingang	-0.0185	7.0	4.5	2.655	0.0043	26.07.2018
11.64660589	48.39861198	RK	18/07/26-17:15:02	WEIZEN	10.0	1.25	202.0	1.0	491.06	26.07.2018	Ein	5.9	Ja	12.72	13.6	4.791	6203.9	4.7860000000000005	6196.7	Eingang	0.00037999999999999997	7.0	4.5	2.655	0.0046	26.07.2018
11.64659935	48.39860122	RK	18/07/26-17:15:02	WEIZEN	11.0	1.25	204.4	1.0	491.1	26.07.2018	Ein	5.9	Ja	12.72	13.6	4.791	6203.9	4.7860000000000005	6196.7	Eingang	0.00043	7.0	4.5	2.655	0.0046	26.07.2018
11.64659255	48.39859129	RK	18/07/26-17:15:02	WEIZEN	12.0	1.25	201.3	1.0	491.15	26.07.2018	Ein	5.9	Ja	12.75	13.7	4.803999999999999	6219.9	4.793	6205.6	Eingang	0.0415	7.0	4.5	2.655	0.0046	26.07.2018
11.6465858	48.39857978	RK	18/07/26-17:15:02	WEIZEN	13.0	1.611	201.2	1.0	491.22	26.07.2018	Ein	5.9	Ja	12.08	13.7	3.529	4569.6	3.5210000000000004	4559.0	Eingang	0.00053	7.0	5.8	3.4219999999999997	0.0043	26.07.2018
11.646578300000002	48.39856695	RK	18/07/26-17:15:02	WEIZEN	14.0	1.75	203.9	1.0	491.32	26.07.2018	Ein	5.9	Ja	12.08	13.7	3.2489999999999997	4206.6	3.241	4196.9	Eingang	0.0002	7.0	6.3	3.717	0.0043	26.07.2018
11.646569	48.39855304	RK	18/07/26-17:15:02	WEIZEN	15.0	1.722	201.7	1.0	491.39	26.07.2018	Ein	5.9	Ja	12.99	13.5	3.55	4596.9	3.55	4596.9	Eingang	0.00018	7.0	6.199	3.658	0.0047	26.07.2018
11.64656045	48.39853875	RK	18/07/26-17:15:02	WEIZEN	16.0	1.611	198.6	1.0	491.43	26.07.2018	Ein	5.9	Ja	12.34	13.6	3.6060000000000003	4669.3	3.602	4663.9	Eingang	0.00023999999999999998	7.0	5.8	3.4219999999999997	0.0044	26.07.2018
11.64655293	48.3985239	RK	18/07/26-17:15:02	WEIZEN	17.0	1.75	196.8	1.0	491.47	26.07.2018	Ein	5.9	Ja	12.13	13.6	3.263	4224.6	3.259	4219.7	Eingang	0.00025	7.0	6.3	3.717	0.0044	26.07.2018
11.64654631	48.39850936	RK	18/07/26-17:15:02	WEIZEN	18.0	1.6669999999999998	200.4	1.0	491.5	26.07.2018	Ein	5.9	Ja	12.3	13.6	3.4730000000000003	4496.9	3.469	4491.7	Eingang	0.00047999999999999996	7.0	6.001	3.5410000000000004	0.0044	26.07.2018
11.64653876	48.39849587	RK	18/07/26-17:15:02	WEIZEN	19.0	1.75	205.4	1.0	491.54	26.07.2018	Ein	5.9	Ja	11.98	13.3	3.2239999999999998	4174.8	3.2239999999999998	4174.8	Eingang	-0.00011	7.0	6.3	3.717	0.0043	26.07.2018
11.64652874	48.39848184	RK	18/07/26-17:15:02	WEIZEN	20.0	1.6669999999999998	203.9	1.0	491.57	26.07.2018	Ein	5.9	Ja	12.43	13.5	3.512	4546.9	3.512	4546.9	Eingang	0.00053	7.0	6.001	3.5410000000000004	0.0045	26.07.2018
11.64651951	48.398468	RK	18/07/26-17:15:02	WEIZEN	21.0	1.6669999999999998	201.4	1.0	491.6	26.07.2018	Ein	5.9	Ja	12.51	13.6	3.533	4574.5	3.529	4569.2	Eingang	-0.00016	7.0	6.001	3.5410000000000004	0.0045	26.07.2018
11.64651091	48.39845343	RK	18/07/26-17:15:02	WEIZEN	22.0	1.778	200.5	1.0	491.61	26.07.2018	Ein	5.9	Ja	11.8	13.5	3.1239999999999997	4044.8	3.1239999999999997	4044.8	Eingang	0.00047999999999999996	7.0	6.401	3.7760000000000002	0.0042	26.07.2018
11.64650213	48.39843787	RK	18/07/26-17:15:02	WEIZEN	23.0	1.9169999999999998	198.4	1.0	491.6	26.07.2018	Ein	5.9	Ja	12.75	13.3	3.1310000000000002	4054.4	3.1310000000000002	4054.4	Eingang	-0.00029	7.0	6.901	4.072	0.0046	26.07.2018
11.64649374	48.39842119	RK	18/07/26-17:15:02	WEIZEN	24.0	1.9169999999999998	199.0	1.0	491.58	26.07.2018	Ein	5.9	Ja	12.75	13.3	3.1310000000000002	4054.4	3.1310000000000002	4054.4	Eingang	0.00023999999999999998	7.0	6.901	4.072	0.0046	26.07.2018
11.64648667	48.39840754	RK	18/07/26-17:15:02	WEIZEN	25.0	1.8330000000000002	199.9	1.0	491.58	26.07.2018	Ein	5.9	Ja	12.24	13.3	3.1439999999999997	4070.6	3.1439999999999997	4070.6	Eingang	0.00063	7.0	6.599	3.8930000000000002	0.0044	26.07.2018
11.64647987	48.39839511	RK	18/07/26-17:15:02	WEIZEN	26.0	1.6669999999999998	200.3	1.0	491.58	26.07.2018	Ein	5.9	Ja	12.18	13.5	3.44	4453.7	3.44	4453.7	Eingang	0.00047999999999999996	7.0	6.001	3.5410000000000004	0.0044	26.07.2018
11.6464717	48.39838046	RK	18/07/26-17:15:02	WEIZEN	27.0	1.472	201.0	1.0	491.55	26.07.2018	Ein	5.9	Ja	12.18	13.5	3.895	5043.7	3.895	5043.7	Eingang	0.00018	7.0	5.2989999999999995	3.127	0.0044	26.07.2018
11.64646228	48.39836418	RK	18/07/26-17:15:02	WEIZEN	28.0	1.806	200.0	1.0	491.48	26.07.2018	Ein	5.9	Ja	11.54	13.5	3.009	3896.1	3.009	3896.1	Eingang	0.0925	7.0	6.502000000000001	3.8360000000000003	0.0042	26.07.2018
11.64645449	48.39834997	RK	18/07/26-17:15:02	WEIZEN	29.0	1.6669999999999998	198.7	1.0	491.41	26.07.2018	Ein	5.9	Ja	12.32	13.3	3.4810000000000003	4507.0	3.4810000000000003	4507.0	Eingang	0.00041	7.0	6.001	3.5410000000000004	0.0044	26.07.2018
11.646448	48.39833724	RK	18/07/26-17:15:02	WEIZEN	30.0	1.5830000000000002	201.5	1.0	491.36	26.07.2018	Ein	5.9	Ja	12.82	13.5	3.812	4935.2	3.812	4935.2	Eingang	0.0419	7.0	5.699	3.362	0.0046	26.07.2018
