Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Kraftstoffverbrauch(L)	Kraftst.eff. (A)(ha/L)	Mot.-Leist.(W)	Mtr.belast.(%)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Kraftst.verbr. (F)(L/ha)	Kraftst.verbr. (Z)(L/h)	Kraftst.verbr. (M)(L/tonne)	Kraftst.verbr. (V)(L/L)	Fruchtdurchs. (V)(m³/s)	Kraftstoffeff.(km/L)	Datum
11,70208130	48,39569735	>1	18/07/30-17:45:49	WEIZEN	1	0,777	194,80	1,000	478,93	30.07.2018	Ein	5,800	Nein	1,193	13,50	0,735	952,04	0,735	952,04	Eingang	0,00025	0,0060	0,075	0,00	39,00	1	2,797	1,622	13,31	21,60	18,11	0,014	0,00043	0,130	30.07.2018
11,70207800	48,39568984	>1	18/07/30-17:45:49	WEIZEN	2	0,833	196,70	1,000	478,86	30.07.2018	Ein	5,800	Nein	2,740	13,50	1,576	2040,1	1,576	2040,1	Eingang	0,00041	0,0060	0,081	0,00	40,00	1	2,999	1,739	12,42	21,60	7,882	0,0061	0,00099	0,139	30.07.2018
11,70207462	48,39568327	>1	18/07/30-17:45:49	WEIZEN	3	0,804	199,60	1,000	478,82	30.07.2018	Ein	5,800	Nein	3,772	13,50	2,247	2909,4	2,247	2909,4	Eingang	-0,00015	0,0060	0,078	0,00	37,00	1	2,894	1,679	12,87	21,60	5,726	0,0044	0,0014	0,134	30.07.2018
11,70207090	48,39567706	>1	18/07/30-17:45:49	WEIZEN	4	0,782	202,50	1,000	478,80	30.07.2018	Ein	5,800	Nein	5,320	13,50	3,258	4218,4	3,258	4218,4	Eingang	-0,00034	0,0060	0,076	0,00	38,00	1	2,815	1,633	13,23	21,60	4,060	0,0031	0,0019	0,130	30.07.2018
11,70206699	48,39566970	>1	18/07/30-17:45:49	WEIZEN	5	0,879	198,50	1,000	478,74	30.07.2018	Ein	5,800	Nein	6,609	13,50	3,601	4662,7	3,601	4662,7	Eingang	4,091e-06	0,0060	0,085	0,00	44,00	1	3,164	1,835	11,77	21,60	3,268	0,0025	0,0024	0,146	30.07.2018
11,70206269	48,39566161	>1	18/07/30-17:45:49	WEIZEN	6	1,033	199,70	1,000	478,69	30.07.2018	Ein	5,800	Nein	8,415	13,50	3,901	5051,4	3,901	5051,4	Eingang	-0,00013	0,0070	0,086	0,00	46,00	1	3,719	2,157	11,68	25,20	2,995	0,0023	0,0030	0,148	30.07.2018
11,70205753	48,39565350	>1	18/07/30-17:45:49	WEIZEN	7	1,029	203,70	1,000	478,65	30.07.2018	Ein	5,800	Nein	10,12	13,50	4,712	6100,8	4,712	6100,8	Eingang	-5,697e-05	0,0070	0,085	0,00	39,00	1	3,704	2,149	11,73	25,20	2,489	0,0019	0,0036	0,147	30.07.2018
11,70205180	48,39564449	>1	18/07/30-17:45:49	WEIZEN	8	1,197	202,70	1,000	478,61	30.07.2018	Ein	5,800	Nein	12,39	3,300	4,956	6417,2	4,956	6417,2	Eingang	8,485e-05	0,0060	0,116	0,00	52,00	1	4,309	2,499	8,642	21,60	1,744	0,0013	0,0045	0,200	30.07.2018
11,70204567	48,39563452	>1	18/07/30-17:45:49	WEIZEN	9	1,245	202,10	1,000	478,56	30.07.2018	Ein	5,800	Nein	13,77	5,100	5,299	6860,7	5,299	6860,7	Eingang	0,00013	0,0090	0,080	0,00	49,00	1	4,482	2,600	12,46	32,40	2,352	0,0018	0,0050	0,138	30.07.2018
11,70203921	48,39562405	>1	18/07/30-17:45:49	WEIZEN	10	1,342	202,30	1,000	478,50	30.07.2018	Ein	5,800	Nein	14,33	8,700	5,113	6620,4	5,113	6620,4	Eingang	0,00013	0,0080	0,097	0,00	49,00	1	4,831	2,802	10,28	28,80	2,010	0,0016	0,0052	0,168	30.07.2018
11,70203267	48,39561271	>1	18/07/30-17:45:49	WEIZEN	11	1,295	200,70	1,000	478,44	30.07.2018	Ein	5,800	Nein	14,56	11,80	5,385	6973,0	5,385	6973,0	Eingang	0,00015	0,0080	0,094	0,00	52,00	1	4,662	2,704	10,65	28,80	1,978	0,0015	0,0052	0,162	30.07.2018
11,70202677	48,39560135	>1	18/07/30-17:45:49	WEIZEN	12	1,332	198,80	1,000	478,37	30.07.2018	Ein	5,800	Nein	15,42	12,90	5,543	7176,6	5,543	7176,6	Eingang	0,00018	0,0080	0,097	0,00	49,00	1	4,795	2,781	10,36	28,80	1,868	0,0014	0,0055	0,167	30.07.2018
11,70202030	48,39559009	>1	18/07/30-17:45:49	WEIZEN	13	1,308	201,20	1,000	478,31	30.07.2018	Ein	5,800	Nein	16,56	13,10	6,062	7849,3	6,062	7849,3	Eingang	0,00035	0,0080	0,095	0,00	52,00	1	4,709	2,731	10,55	28,80	1,740	0,0013	0,0060	0,164	30.07.2018
11,70201334	48,39557865	>1	18/07/30-17:45:49	WEIZEN	14	1,335	202,10	1,000	478,23	30.07.2018	Ein	5,800	Nein	18,17	12,90	6,518	8439,2	6,518	8439,2	Eingang	-0,00021	0,0080	0,097	0,00	49,00	1	4,806	2,787	10,33	28,80	1,585	0,0012	0,0065	0,167	30.07.2018
11,70200751	48,39556674	>1	18/07/30-17:45:49	WEIZEN	15	1,364	197,30	1,000	478,14	30.07.2018	Ein	5,800	Nein	18,97	12,70	6,662	8625,9	6,662	8625,9	Eingang	0,00038	0,0080	0,099	0,00	56,00	1	4,910	2,848	10,11	28,80	1,518	0,0012	0,0068	0,171	30.07.2018
11,70200209	48,39555468	>1	18/07/30-17:45:49	WEIZEN	16	1,308	196,50	1,000	478,06	30.07.2018	Ein	5,800	Nein	19,49	12,50	7,136	9239,6	7,136	9239,6	Eingang	-0,00026	0,0090	0,084	0,00	51,00	1	4,709	2,731	11,86	32,40	1,663	0,0013	0,0070	0,145	30.07.2018
11,70199582	48,39554289	>1	18/07/30-17:45:49	WEIZEN	17	1,296	200,00	1,000	477,94	30.07.2018	Ein	5,800	Nein	19,49	12,50	7,202	9325,1	7,202	9325,1	Eingang	0,00095	0,0090	0,084	0,00	51,00	1	4,666	2,706	11,97	32,40	1,663	0,0013	0,0070	0,144	30.07.2018
11,70198981	48,39553125	>1	18/07/30-17:45:49	WEIZEN	18	1,340	198,70	1,000	477,82	30.07.2018	Ein	5,800	Nein	17,66	12,30	6,313	8174,2	6,313	8174,2	Eingang	0,00035	0,0080	0,097	0,00	51,00	1	4,824	2,798	10,29	28,80	1,630	0,0013	0,0064	0,168	30.07.2018
11,70198390	48,39551967	>1	18/07/30-17:45:49	WEIZEN	19	1,329	198,70	1,000	477,71	30.07.2018	Ein	5,800	Nein	19,20	12,70	6,919	8959,0	6,919	8959,0	Eingang	0,00070	0,0080	0,096	0,00	50,00	1	4,784	2,775	10,38	28,80	1,500	0,0012	0,0069	0,166	30.07.2018
11,70197702	48,39550840	>1	18/07/30-17:45:49	WEIZEN	20	1,358	202,60	1,000	477,62	30.07.2018	Ein	5,800	Nein	19,63	12,90	6,921	8961,7	6,921	8961,7	Eingang	8,519e-05	0,0080	0,098	0,00	51,00	1	4,889	2,836	10,16	28,80	1,468	0,0011	0,0071	0,170	30.07.2018
11,70196945	48,39549734	>1	18/07/30-17:45:49	WEIZEN	21	1,443	204,80	1,000	477,54	30.07.2018	Ein	5,800	Nein	20,14	12,70	6,685	8655,4	6,685	8655,4	Eingang	-0,00016	0,0080	0,105	0,00	50,00	1	5,195	3,013	9,559	28,80	1,430	0,0011	0,0072	0,180	30.07.2018
11,70196261	48,39548570	>1	18/07/30-17:45:49	WEIZEN	22	1,343	200,70	1,000	477,43	30.07.2018	Ein	5,800	Nein	20,14	12,70	7,182	9299,9	7,182	9299,9	Eingang	-5,009e-05	0,0080	0,097	0,00	50,00	1	4,835	2,804	10,27	28,80	1,430	0,0011	0,0072	0,168	30.07.2018
11,70195628	48,39547354	>1	18/07/30-17:45:49	WEIZEN	23	1,383	198,80	1,000	477,29	30.07.2018	Ein	5,800	Nein	21,13	12,40	7,317	9473,7	7,317	9473,7	Eingang	0,00053	0,0080	0,100	0,00	51,00	1	4,979	2,888	9,973	28,80	1,363	0,0011	0,0076	0,173	30.07.2018
11,70194989	48,39546140	>1	18/07/30-17:45:49	WEIZEN	24	1,360	199,30	1,000	477,15	30.07.2018	Ein	5,800	Nein	22,93	12,50	8,075	10456	8,075	10456	Eingang	0,00038	0,0080	0,099	0,00	51,00	1	4,896	2,840	10,14	28,80	1,256	0,00097	0,0082	0,170	30.07.2018
11,70194459	48,39544951	>1	18/07/30-17:45:49	WEIZEN	25	1,392	196,00	1,000	477,03	30.07.2018	Ein	5,800	Nein	23,23	13,00	7,994	10351	7,994	10351	Eingang	0,00064	0,0080	0,101	0,00	49,00	1	5,011	2,906	9,909	28,80	1,240	0,00096	0,0084	0,174	30.07.2018
11,70193961	48,39543799	>1	18/07/30-17:45:49	WEIZEN	26	1,390	196,00	1,000	476,94	30.07.2018	Ein	5,800	Nein	24,62	13,20	8,484	10985	8,484	10985	Eingang	0,00029	0,0090	0,090	0,00	50,00	1	5,004	2,902	11,16	32,40	1,316	0,0010	0,0089	0,154	30.07.2018
11,70193317	48,39542583	>1	18/07/30-17:45:49	WEIZEN	27	1,418	199,90	1,000	476,81	30.07.2018	Ein	5,800	Nein	25,15	12,60	8,496	11000	8,496	11000	Eingang	0,00041	0,0080	0,103	0,00	50,00	1	5,105	2,961	9,727	28,80	1,145	0,00088	0,0090	0,177	30.07.2018
11,70192585	48,39541296	>1	18/07/30-17:45:49	WEIZEN	28	1,474	200,90	1,000	476,69	30.07.2018	Ein	5,800	Nein	25,30	12,50	8,221	10645	8,221	10645	Eingang	0,00069	0,0080	0,107	0,00	54,00	1	5,306	3,078	9,358	28,80	1,138	0,00088	0,0091	0,184	30.07.2018
11,70191781	48,39539874	>1	18/07/30-17:45:49	WEIZEN	29	1,636	200,50	1,000	476,55	30.07.2018	Ein	5,800	Nein	26,35	12,30	7,713	9987,4	7,713	9987,4	Eingang	-0,00025	0,0090	0,105	0,00	54,00	1	5,890	3,416	9,485	32,40	1,230	0,00095	0,0095	0,182	30.07.2018
11,70191093	48,39538491	>1	18/07/30-17:45:49	WEIZEN	30	1,585	198,00	1,000	476,38	30.07.2018	Ein	5,800	Nein	28,07	12,30	8,483	10983	8,483	10983	Eingang	0,00053	0,0090	0,102	0,00	50,00	1	5,706	3,309	9,790	32,40	1,154	0,00089	0,010	0,176	30.07.2018
11,70190506	48,39537210	>1	18/07/30-17:45:49	WEIZEN	31	1,493	196,80	1,000	476,23	30.07.2018	Ein	5,800	Nein	29,24	12,30	9,381	12147	9,381	12147	Eingang	0,00041	0,0080	0,108	0,00	51,00	1	5,375	3,117	9,239	28,80	0,985	0,00076	0,011	0,187	30.07.2018
11,70189883	48,39535972	>1	18/07/30-17:45:49	WEIZEN	32	1,497	198,70	1,000	476,09	30.07.2018	Ein	5,800	Nein	29,24	12,30	9,356	12114	9,356	12114	Eingang	0,00018	0,0080	0,109	0,00	51,00	1	5,389	3,126	9,214	28,80	0,985	0,00076	0,011	0,187	30.07.2018
