Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Fruchtdurchs. (V)(m³/s)	Datum
11,73141913	48,42964983	I	18/07/28-11:38:09	WEIZEN	1	0,306	10,000	1,000	487,47	28.07.2018	Ein	5,900	Nein	2,943	18,40	4,529	5864,0	4,272	5531,8	Eingang	-9,572e-05	1	1,102	0,650	0,0011	28.07.2018
11,73141969	48,42965197	I	18/07/28-11:38:09	WEIZEN	2	0,306	12,10	1,000	487,49	28.07.2018	Ein	5,900	Nein	4,374	18,40	6,730	8714,5	6,349	8220,8	Eingang	0,00017	1	1,102	0,650	0,0016	28.07.2018
11,73142046	48,42965436	I	18/07/28-11:38:09	WEIZEN	3	0,306	9,500	1,000	487,50	28.07.2018	Ein	5,900	Nein	8,462	18,40	13,02	16859	12,28	15904	Eingang	-0,00019	1	1,102	0,650	0,0030	28.07.2018
11,73142106	48,42965675	I	18/07/28-11:38:09	WEIZEN	4	0,306	13,20	1,000	487,53	28.07.2018	Ein	5,900	Nein	11,81	18,40	18,18	23537	17,15	22204	Eingang	0,00028	1	1,102	0,650	0,0042	28.07.2018
11,73142492	48,42966974	I	18/07/28-11:38:09	WEIZEN	5	0,472	14,70	1,000	487,61	28.07.2018	Ein	5,900	Nein	18,75	18,50	18,70	24217	17,62	22817	Eingang	-0,00012	1	1,699	1,003	0,0067	28.07.2018
11,73142752	48,42967637	I	18/07/28-11:38:09	WEIZEN	6	0,556	9,600	1,000	487,65	28.07.2018	Ein	5,900	Nein	20,02	18,50	16,95	21946	15,97	20678	Eingang	-0,00019	1	2,002	1,181	0,0072	28.07.2018
11,73142952	48,42968423	I	18/07/28-11:38:09	WEIZEN	7	0,917	10,50	1,000	487,70	28.07.2018	Ein	5,900	Nein	21,14	17,90	10,85	14051	10,30	13336	Eingang	0,00046	1	3,301	1,948	0,0076	28.07.2018
11,73143173	48,42969217	I	18/07/28-11:38:09	WEIZEN	8	0,944	12,10	1,000	487,75	28.07.2018	Ein	5,900	Nein	20,59	17,70	10,27	13298	9,772	12653	Eingang	0,00040	1	3,398	2,005	0,0074	28.07.2018
11,73143460	48,42970104	I	18/07/28-11:38:09	WEIZEN	9	0,972	8,400	1,000	487,79	28.07.2018	Ein	5,900	Nein	21,75	17,90	10,54	13642	10,000	12948	Eingang	-0,00045	1	3,499	2,065	0,0078	28.07.2018
11,73143669	48,42971053	I	18/07/28-11:38:09	WEIZEN	10	1,056	6,600	1,000	487,83	28.07.2018	Ein	5,900	Nein	22,27	18,00	9,928	12855	9,411	12186	Eingang	0,00022	1	3,802	2,243	0,0080	28.07.2018
11,73143833	48,42971973	I	18/07/28-11:38:09	WEIZEN	11	1,028	10,50	1,000	487,89	28.07.2018	Ein	5,900	Nein	22,70	18,10	10,40	13462	9,844	12746	Eingang	-0,00063	1	3,701	2,183	0,0082	28.07.2018
11,73144068	48,42972817	I	18/07/28-11:38:09	WEIZEN	12	1,056	11,80	1,000	487,96	28.07.2018	Ein	5,900	Nein	23,98	17,40	10,69	13842	10,21	13218	Eingang	0,00016	1	3,802	2,243	0,0086	28.07.2018
11,73144375	48,42973792	I	18/07/28-11:38:09	WEIZEN	13	1,139	11,00	1,000	488,04	28.07.2018	Ein	5,900	Nein	22,42	17,60	9,267	11999	8,828	11430	Eingang	-0,00016	1	4,100	2,419	0,0081	28.07.2018
11,73144684	48,42974848	I	18/07/28-11:38:09	WEIZEN	14	1,167	8,300	1,000	488,11	28.07.2018	Ein	5,900	Nein	23,53	17,80	9,495	12294	9,023	11682	Eingang	-0,00016	1	4,201	2,479	0,0085	28.07.2018
11,73144927	48,42975954	I	18/07/28-11:38:09	WEIZEN	15	1,250	9,100	1,000	488,18	28.07.2018	Ein	5,900	Nein	23,53	17,80	8,864	11477	8,423	10907	Eingang	-0,00019	1	4,500	2,655	0,0085	28.07.2018
11,73145196	48,42977067	I	18/07/28-11:38:09	WEIZEN	16	1,250	9,500	1,000	488,25	28.07.2018	Ein	5,900	Nein	24,87	17,90	9,367	12129	8,891	11512	Eingang	-9,594e-05	1	4,500	2,655	0,0089	28.07.2018
