Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Kraftstoffverbrauch(L)	Kraftst.eff. (A)(ha/L)	Mot.-Leist.(W)	Mtr.belast.(%)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Kraftst.verbr. (F)(L/ha)	Kraftst.verbr. (Z)(L/h)	Kraftst.verbr. (M)(L/tonne)	Kraftst.verbr. (V)(L/L)	Fruchtdurchs. (V)(m³/s)	Kraftstoffeff.(km/L)	Datum
11,71343381	48,43524662	FELDHOF	18/07/28-16:01:41	WEIZEN	1	0,389	3,700	1,000	500,12	28.07.2018	Ein	5,800	Nein	0,290	13,50	0,357	462,56	0,357	462,56	Eingang	0,00	0,0070	0,032	0,00	41,00	48	1,400	0,812	31,03	25,20	86,85	0,067	0,00010	0,056	28.07.2018
11,71343851	48,43527042	FELDHOF	18/07/28-16:01:41	WEIZEN	2	0,692	17,70	1,000	500,35	28.07.2018	Ein	5,800	Nein	0,677	13,50	0,469	606,72	0,469	606,72	Eingang	0,00016	0,0080	0,050	0,00	45,00	48	2,491	1,445	19,93	28,80	42,54	0,033	0,00024	0,087	28.07.2018
11,71344138	48,43527719	FELDHOF	18/07/28-16:01:41	WEIZEN	3	0,692	14,90	1,000	500,40	28.07.2018	Ein	5,800	Nein	1,386	13,50	0,959	1242,3	0,959	1242,3	Eingang	-0,00023	0,0070	0,057	0,00	44,00	48	2,491	1,445	17,44	25,20	18,18	0,014	0,00050	0,099	28.07.2018
11,71344261	48,43528454	FELDHOF	18/07/28-16:01:41	WEIZEN	4	0,671	3,200	1,000	500,43	28.07.2018	Ein	5,800	Nein	1,548	13,50	1,105	1430,2	1,105	1430,2	Eingang	-6,616e-05	0,0070	0,056	0,00	46,00	48	2,416	1,401	17,99	25,20	16,28	0,013	0,00056	0,096	28.07.2018
11,71344468	48,43529060	FELDHOF	18/07/28-16:01:41	WEIZEN	5	0,664	16,30	1,000	500,46	28.07.2018	Ein	5,800	Nein	1,773	13,50	1,279	1656,0	1,279	1656,0	Eingang	-0,00011	0,0070	0,055	0,00	43,00	48	2,390	1,386	18,18	25,20	14,21	0,011	0,00064	0,095	28.07.2018
11,71344696	48,43529783	FELDHOF	18/07/28-16:01:41	WEIZEN	6	0,782	10,30	1,000	500,49	28.07.2018	Ein	5,800	Nein	2,837	13,50	1,738	2249,8	1,738	2249,8	Eingang	-0,00011	0,0070	0,065	0,00	43,00	48	2,815	1,633	15,43	25,20	8,882	0,0069	0,0010	0,112	28.07.2018
11,71344931	48,43530530	FELDHOF	18/07/28-16:01:41	WEIZEN	7	0,773	12,30	1,000	500,53	28.07.2018	Ein	5,800	Nein	5,771	13,50	3,576	4629,7	3,576	4629,7	Eingang	0,00062	0,0060	0,075	0,00	45,00	48	2,783	1,614	13,38	21,60	3,743	0,0029	0,0021	0,129	28.07.2018
11,71345249	48,43531248	FELDHOF	18/07/28-16:01:41	WEIZEN	8	0,753	17,60	1,000	500,57	28.07.2018	Ein	5,800	Nein	11,25	13,50	7,156	9266,3	7,156	9266,3	Eingang	0,00069	0,0070	0,062	0,00	49,00	48	2,711	1,572	16,03	25,20	2,240	0,0017	0,0040	0,108	28.07.2018
11,71345652	48,43532083	FELDHOF	18/07/28-16:01:41	WEIZEN	9	0,803	17,70	1,000	500,56	28.07.2018	Ein	5,800	Nein	15,11	2,800	9,013	11670	9,013	11670	Eingang	-0,00019	0,0080	0,058	0,00	49,00	48	2,891	1,677	17,18	28,80	1,906	0,0015	0,0054	0,100	28.07.2018
11,71346119	48,43532996	FELDHOF	18/07/28-16:01:41	WEIZEN	10	1,190	19,00	1,000	500,56	28.07.2018	Ein	5,800	Nein	17,85	7,000	7,184	9301,6	7,184	9301,6	Eingang	-1,411e-05	0,0080	0,086	0,00	54,00	48	4,284	2,485	11,59	28,80	1,613	0,0012	0,0064	0,149	28.07.2018
