Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Fruchtdurchs. (V)(m³/s)	Datum
11,72250302	48,37828644	HEINDLACKER	18/07/20-14:35:30	WEIZEN	1	0,278	281,20	1,000	442,55	20.07.2018	Ein	5,900	Nein	1,358	13,50	2,300	2977,7	2,300	2977,7	Eingang	0,00	4	1,001	0,590	0,00049	20.07.2018
11,72249630	48,37828732	HEINDLACKER	18/07/20-14:35:30	WEIZEN	2	0,389	272,60	1,000	442,52	20.07.2018	Ein	5,900	Nein	1,782	13,50	2,157	2793,0	2,157	2793,0	Eingang	-0,0012	4	1,400	0,826	0,00064	20.07.2018
11,72249053	48,37828749	HEINDLACKER	18/07/20-14:35:30	WEIZEN	3	0,417	282,50	1,000	442,51	20.07.2018	Ein	5,900	Nein	2,419	13,50	2,731	3536,0	2,731	3536,0	Eingang	-0,0011	4	1,501	0,886	0,00087	20.07.2018
11,72248437	48,37828839	HEINDLACKER	18/07/20-14:35:30	WEIZEN	4	0,417	289,10	1,000	442,51	20.07.2018	Ein	5,900	Nein	3,395	13,50	3,833	4962,9	3,833	4962,9	Eingang	-0,0014	4	1,501	0,886	0,0012	20.07.2018
11,72247785	48,37828989	HEINDLACKER	18/07/20-14:35:30	WEIZEN	5	0,417	288,10	1,000	442,52	20.07.2018	Ein	5,900	Nein	4,838	13,50	5,462	7072,1	5,462	7072,1	Eingang	-0,0011	4	1,501	0,886	0,0017	20.07.2018
11,72247134	48,37829127	HEINDLACKER	18/07/20-14:35:30	WEIZEN	6	0,389	274,50	1,000	442,54	20.07.2018	Ein	5,900	Nein	5,814	13,50	7,036	9110,7	7,036	9110,7	Eingang	-0,00037	4	1,400	0,826	0,0021	20.07.2018
11,72246521	48,37829153	HEINDLACKER	18/07/20-14:35:30	WEIZEN	7	0,361	250,30	1,000	442,62	20.07.2018	Ein	5,900	Nein	6,238	13,50	8,135	10534	8,135	10534	Eingang	-0,0012	4	1,300	0,767	0,0022	20.07.2018
11,72246073	48,37829047	HEINDLACKER	18/07/20-14:35:30	WEIZEN	8	0,306	249,90	1,000	442,73	20.07.2018	Ein	5,900	Nein	6,238	13,50	9,598	12427	9,598	12427	Eingang	-0,00092	4	1,102	0,650	0,0022	20.07.2018
11,72245469	48,37828899	HEINDLACKER	18/07/20-14:35:30	WEIZEN	9	0,417	247,00	1,000	442,78	20.07.2018	Ein	5,900	Nein	5,517	13,50	6,228	8064,7	6,228	8064,7	Eingang	-0,00032	4	1,501	0,886	0,0020	20.07.2018
11,72244742	48,37828694	HEINDLACKER	18/07/20-14:35:30	WEIZEN	10	0,472	245,70	1,000	442,79	20.07.2018	Ein	5,900	Nein	4,795	13,50	4,783	6193,2	4,783	6193,2	Eingang	-0,00060	4	1,699	1,003	0,0017	20.07.2018
11,72244334	48,37828553	HEINDLACKER	18/07/20-14:35:30	WEIZEN	11	0,306	283,40	1,000	442,81	20.07.2018	Ein	5,900	Nein	4,413	13,50	6,790	8792,1	6,790	8792,1	Eingang	-0,00084	4	1,102	0,650	0,0016	20.07.2018
11,72244017	48,37828603	HEINDLACKER	18/07/20-14:35:30	WEIZEN	12	0,361	280,30	1,000	442,89	20.07.2018	Ein	5,900	Nein	5,517	13,50	7,195	9315,7	7,195	9315,7	Eingang	-0,00089	4	1,300	0,767	0,0020	20.07.2018
11,72243618	48,37828649	HEINDLACKER	18/07/20-14:35:30	WEIZEN	13	0,361	267,30	1,000	443,01	20.07.2018	Ein	5,900	Nein	6,874	13,50	8,966	11609	8,966	11609	Eingang	-0,0011	4	1,300	0,767	0,0025	20.07.2018
11,72243006	48,37828630	HEINDLACKER	18/07/20-14:35:30	WEIZEN	14	0,361	266,20	1,000	442,63	20.07.2018	Ein	5,900	Nein	8,827	13,50	11,51	14905	11,51	14905	Eingang	-0,0010	4	1,300	0,767	0,0032	20.07.2018
11,72242423	48,37828604	HEINDLACKER	18/07/20-14:35:30	WEIZEN	15	0,361	269,40	1,000	442,38	20.07.2018	Ein	5,900	Nein	8,699	13,50	11,35	14690	11,35	14690	Eingang	-0,00068	4	1,300	0,767	0,0031	20.07.2018
11,72241829	48,37828600	HEINDLACKER	18/07/20-14:35:30	WEIZEN	16	0,333	263,80	1,000	442,24	20.07.2018	Ein	5,900	Nein	8,996	13,50	12,72	16469	12,72	16469	Eingang	-0,0013	4	1,199	0,707	0,0032	20.07.2018
11,72241244	48,37828556	HEINDLACKER	18/07/20-14:35:30	WEIZEN	17	0,361	254,50	1,000	442,17	20.07.2018	Ein	5,900	Nein	10,01	13,50	13,06	16912	13,06	16912	Eingang	-0,00055	4	1,300	0,767	0,0036	20.07.2018
11,72240769	48,37828468	HEINDLACKER	18/07/20-14:35:30	WEIZEN	18	0,361	250,30	1,000	442,13	20.07.2018	Ein	5,900	Nein	11,63	13,50	15,16	19635	15,16	19635	Eingang	-0,00078	4	1,300	0,767	0,0042	20.07.2018
11,72240304	48,37828357	HEINDLACKER	18/07/20-14:35:30	WEIZEN	19	0,361	245,00	1,000	442,10	20.07.2018	Ein	5,900	Nein	12,05	13,50	15,72	20351	15,72	20351	Eingang	-0,00080	4	1,300	0,767	0,0043	20.07.2018
11,72239888	48,37828229	HEINDLACKER	18/07/20-14:35:30	WEIZEN	20	0,417	245,00	1,000	442,11	20.07.2018	Ein	5,900	Nein	13,11	13,50	14,80	19169	14,80	19169	Eingang	-0,0011	4	1,501	0,886	0,0047	20.07.2018
11,72239212	48,37828019	HEINDLACKER	18/07/20-14:35:30	WEIZEN	21	0,500	241,60	1,000	442,12	20.07.2018	Ein	5,900	Nein	12,99	13,50	12,23	15832	12,23	15832	Eingang	-0,00030	4	1,800	1,062	0,0047	20.07.2018
11,72238320	48,37827689	HEINDLACKER	18/07/20-14:35:30	WEIZEN	22	0,583	228,20	1,000	442,12	20.07.2018	Ein	5,900	Nein	14,34	13,50	11,58	14998	11,58	14998	Eingang	-0,0010	4	2,099	1,238	0,0052	20.07.2018
11,72237629	48,37827278	HEINDLACKER	18/07/20-14:35:30	WEIZEN	23	0,667	222,00	1,000	442,13	20.07.2018	Ein	5,900	Nein	14,51	13,50	10,24	13264	10,24	13264	Eingang	-0,00028	4	2,401	1,417	0,0052	20.07.2018
11,72236955	48,37826781	HEINDLACKER	18/07/20-14:35:30	WEIZEN	24	0,722	219,70	1,000	442,18	20.07.2018	Ein	5,900	Nein	15,87	13,50	10,35	13400	10,35	13400	Eingang	-0,00015	4	2,599	1,534	0,0057	20.07.2018
11,72236197	48,37826173	HEINDLACKER	18/07/20-14:35:30	WEIZEN	25	0,833	209,80	1,000	442,22	20.07.2018	Ein	5,900	Nein	16,80	13,50	9,498	12298	9,498	12298	Eingang	-0,0011	4	2,999	1,769	0,0060	20.07.2018
11,72235645	48,37825530	HEINDLACKER	18/07/20-14:35:30	WEIZEN	26	0,833	203,40	1,000	442,24	20.07.2018	Ein	5,900	Nein	18,97	13,50	10,72	13882	10,72	13882	Eingang	-0,00020	4	2,999	1,769	0,0068	20.07.2018
11,72235117	48,37824720	HEINDLACKER	18/07/20-14:35:30	WEIZEN	27	0,889	201,40	1,000	442,28	20.07.2018	Ein	5,900	Nein	19,27	13,50	10,20	13211	10,20	13211	Eingang	-0,00080	4	3,200	1,888	0,0069	20.07.2018
11,72234602	48,37823842	HEINDLACKER	18/07/20-14:35:30	WEIZEN	28	1,000	193,60	1,000	442,31	20.07.2018	Ein	5,900	Nein	20,45	13,50	9,630	12469	9,630	12469	Eingang	-0,0010	4	3,600	2,124	0,0074	20.07.2018
11,72234275	48,37822942	HEINDLACKER	18/07/20-14:35:30	WEIZEN	29	1,000	195,10	1,000	442,43	20.07.2018	Ein	5,900	Nein	22,58	3,200	10,63	13763	10,63	13763	Eingang	-0,00096	4	3,600	2,124	0,0081	20.07.2018
11,72233882	48,37821970	HEINDLACKER	18/07/20-14:35:30	WEIZEN	30	1,056	200,10	1,000	442,54	20.07.2018	Ein	5,900	Nein	22,99	4,300	10,25	13274	10,25	13274	Eingang	-0,00056	4	3,802	2,243	0,0083	20.07.2018
