Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Fruchtdurchs. (V)(m³/s)	Datum
11,68288542	48,40114069	WACHINGER	18/07/27-19:02:41	WEIZEN	1	0,056	52,80	1,000	495,92	27.07.2018	Ein	5,900	Nein	0,085	13,50	0,714	923,89	0,714	923,89	Eingang	-0,00010	4	0,202	0,119	3,053e-05	27.07.2018
11,68288726	48,40114136	WACHINGER	18/07/27-19:02:41	WEIZEN	2	0,083	21,30	1,000	495,89	27.07.2018	Ein	5,900	Nein	0,212	13,50	1,204	1558,4	1,204	1558,4	Eingang	0,00048	4	0,299	0,176	7,631e-05	27.07.2018
11,68288910	48,40114449	WACHINGER	18/07/27-19:02:41	WEIZEN	3	0,361	25,90	1,000	495,82	27.07.2018	Ein	5,900	Nein	0,382	13,50	0,498	644,93	0,498	644,93	Eingang	0,00024	4	1,300	0,767	0,00014	27.07.2018
11,68289186	48,40114829	WACHINGER	18/07/27-19:02:41	WEIZEN	4	0,389	43,60	1,000	495,76	27.07.2018	Ein	5,900	Nein	0,891	13,50	1,079	1396,5	1,079	1396,5	Eingang	0,00069	4	1,400	0,826	0,00032	27.07.2018
11,68289559	48,40115089	WACHINGER	18/07/27-19:02:41	WEIZEN	5	0,472	44,80	1,000	495,73	27.07.2018	Ein	5,900	Nein	1,358	13,50	1,355	1753,8	1,355	1753,8	Eingang	0,00054	4	1,699	1,003	0,00049	27.07.2018
11,68290427	48,40115761	WACHINGER	18/07/27-19:02:41	WEIZEN	6	0,389	37,70	1,000	495,63	27.07.2018	Ein	5,900	Nein	1,443	13,50	1,746	2261,0	1,746	2261,0	Eingang	0,00041	4	1,400	0,826	0,00052	27.07.2018
11,68290922	48,40116186	WACHINGER	18/07/27-19:02:41	WEIZEN	7	0,611	42,70	1,000	495,56	27.07.2018	Ein	5,900	Nein	4,031	13,50	3,106	4022,2	3,106	4022,2	Eingang	8,462e-05	4	2,200	1,298	0,0014	27.07.2018
11,68291459	48,40116576	WACHINGER	18/07/27-19:02:41	WEIZEN	8	0,722	39,20	1,000	495,50	27.07.2018	Ein	5,900	Nein	5,729	13,50	3,736	4837,0	3,736	4837,0	Eingang	-4,843e-05	4	2,599	1,534	0,0021	27.07.2018
11,68291875	48,40116916	WACHINGER	18/07/27-19:02:41	WEIZEN	9	0,694	35,80	1,000	495,46	27.07.2018	Ein	5,900	Nein	7,044	13,50	4,779	6187,7	4,779	6187,7	Eingang	0,00020	4	2,498	1,474	0,0025	27.07.2018
11,68292436	48,40117430	WACHINGER	18/07/27-19:02:41	WEIZEN	10	0,694	38,40	1,000	495,37	27.07.2018	Ein	5,900	Nein	7,044	13,50	4,779	6187,7	4,779	6187,7	Eingang	0,00075	4	2,498	1,474	0,0025	27.07.2018
11,68293046	48,40117940	WACHINGER	18/07/27-19:02:41	WEIZEN	11	0,722	38,40	1,000	495,29	27.07.2018	Ein	5,900	Nein	8,699	13,50	5,673	7345,1	5,673	7345,1	Eingang	0,00018	4	2,599	1,534	0,0031	27.07.2018
11,68294372	48,40119014	WACHINGER	18/07/27-19:02:41	WEIZEN	12	0,722	40,70	1,000	495,12	27.07.2018	Ein	5,900	Nein	9,633	13,50	6,281	8133,3	6,281	8133,3	Eingang	0,00025	4	2,599	1,534	0,0035	27.07.2018
11,68295085	48,40119563	WACHINGER	18/07/27-19:02:41	WEIZEN	13	0,778	39,10	1,000	495,03	27.07.2018	Ein	5,900	Nein	10,14	13,50	6,137	7946,9	6,137	7946,9	Eingang	0,00018	4	2,801	1,652	0,0036	27.07.2018
11,68295794	48,40120142	WACHINGER	18/07/27-19:02:41	WEIZEN	14	0,833	45,30	1,000	494,94	27.07.2018	Ein	5,900	Nein	10,86	13,50	6,140	7950,1	6,140	7950,1	Eingang	-0,00037	4	2,999	1,769	0,0039	27.07.2018
11,68296624	48,40120688	WACHINGER	18/07/27-19:02:41	WEIZEN	15	0,833	50,40	1,000	494,87	27.07.2018	Ein	5,900	Nein	11,88	13,50	6,716	8695,4	6,716	8695,4	Eingang	1,978e-05	4	2,999	1,769	0,0043	27.07.2018
