Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Fruchtdurchs. (V)(m³/s)	Datum
11,72806660	48,39286901	MÜHLACKER	18/07/20-19:07:13	WEIZEN	1	0,833	229,50	1,000	443,66	20.07.2018	Ein	5,900	Nein	7,469	13,50	4,221	5465,7	4,221	5465,7	Eingang	0,0011	2	2,999	1,769	0,0027	20.07.2018
11,72805800	48,39286414	MÜHLACKER	18/07/20-19:07:13	WEIZEN	2	0,806	229,10	1,000	443,66	20.07.2018	Ein	5,900	Nein	8,954	13,50	5,230	6772,1	5,230	6772,1	Eingang	0,00093	2	2,902	1,712	0,0032	20.07.2018
11,72804993	48,39285951	MÜHLACKER	18/07/20-19:07:13	WEIZEN	3	0,806	232,60	1,000	443,66	20.07.2018	Ein	5,900	Nein	10,23	13,50	5,974	7735,0	5,974	7735,0	Eingang	0,00095	2	2,902	1,712	0,0037	20.07.2018
11,72803900	48,39285392	MÜHLACKER	18/07/20-19:07:13	WEIZEN	4	0,861	245,50	1,000	443,57	20.07.2018	Ein	5,900	Nein	11,67	13,50	6,381	8262,4	6,381	8262,4	Eingang	0,00076	2	3,100	1,829	0,0042	20.07.2018
11,72802715	48,39285033	MÜHLACKER	18/07/20-19:07:13	WEIZEN	5	0,861	254,40	1,000	443,52	20.07.2018	Ein	5,900	Nein	13,45	13,50	7,356	9524,3	7,356	9524,3	Eingang	0,0011	2	3,100	1,829	0,0048	20.07.2018
11,72801554	48,39284816	MÜHLACKER	18/07/20-19:07:13	WEIZEN	6	0,806	243,80	1,000	443,50	20.07.2018	Ein	5,900	Nein	14,17	13,50	8,279	10720	8,279	10720	Eingang	0,00086	2	2,902	1,712	0,0051	20.07.2018
11,72800476	48,39284464	MÜHLACKER	18/07/20-19:07:13	WEIZEN	7	0,833	239,20	1,000	443,46	20.07.2018	Ein	5,900	Nein	14,64	13,50	8,275	10714	8,275	10714	Eingang	0,00042	2	2,999	1,769	0,0053	20.07.2018
11,72799518	48,39284093	MÜHLACKER	18/07/20-19:07:13	WEIZEN	8	0,806	249,70	1,000	443,45	20.07.2018	Ein	5,900	Nein	16,63	13,50	9,717	12581	9,717	12581	Eingang	0,00015	2	2,902	1,712	0,0060	20.07.2018
11,72798568	48,39283859	MÜHLACKER	18/07/20-19:07:13	WEIZEN	9	0,917	255,50	1,000	443,46	20.07.2018	Ein	5,900	Nein	18,71	13,50	9,608	12441	9,608	12441	Eingang	0,00072	2	3,301	1,948	0,0067	20.07.2018
11,72797341	48,39283638	MÜHLACKER	18/07/20-19:07:13	WEIZEN	10	0,917	241,90	1,000	443,47	20.07.2018	Ein	5,900	Nein	22,15	13,50	11,37	14726	11,37	14726	Eingang	0,00023	2	3,301	1,948	0,0080	20.07.2018
11,72794899	48,39282811	MÜHLACKER	18/07/20-19:07:13	WEIZEN	11	1,028	250,80	1,000	443,41	20.07.2018	Ein	5,900	Nein	24,82	3,200	11,37	14716	11,37	14716	Eingang	0,00018	2	3,701	2,183	0,0089	20.07.2018
11,72793492	48,39282485	MÜHLACKER	18/07/20-19:07:13	WEIZEN	12	1,028	259,40	1,000	443,37	20.07.2018	Ein	5,900	Nein	22,78	5,600	10,44	13511	10,44	13511	Eingang	0,00052	2	3,701	2,183	0,0082	20.07.2018
11,72792091	48,39282311	MÜHLACKER	18/07/20-19:07:13	WEIZEN	13	1,028	256,00	1,000	443,35	20.07.2018	Ein	5,900	Nein	22,53	6,900	10,32	13361	10,32	13361	Eingang	0,00054	2	3,701	2,183	0,0081	20.07.2018
11,72790750	48,39282088	MÜHLACKER	18/07/20-19:07:13	WEIZEN	14	1,028	251,60	1,000	443,35	20.07.2018	Ein	5,900	Nein	21,81	8,100	9,988	12933	9,988	12933	Eingang	0,00047	2	3,701	2,183	0,0078	20.07.2018
11,72789440	48,39281798	MÜHLACKER	18/07/20-19:07:13	WEIZEN	15	1,056	257,00	1,000	443,33	20.07.2018	Ein	5,900	Nein	22,10	9,600	9,852	12757	9,852	12757	Eingang	0,0013	2	3,802	2,243	0,0079	20.07.2018
11,72788142	48,39281600	MÜHLACKER	18/07/20-19:07:13	WEIZEN	16	1,000	260,60	1,000	443,34	20.07.2018	Ein	5,900	Nein	22,57	10,70	10,63	13760	10,63	13760	Eingang	7,395e-05	2	3,600	2,124	0,0081	20.07.2018
11,72786741	48,39281445	MÜHLACKER	18/07/20-19:07:13	WEIZEN	17	1,028	257,90	1,000	443,36	20.07.2018	Ein	5,900	Nein	21,62	11,80	9,900	12818	9,900	12818	Eingang	0,00042	2	3,701	2,183	0,0078	20.07.2018
