Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Fruchtdurchs. (V)(m³/s)	Datum
11,64379019	48,40244779	1	18/07/19-11:55:17	WEIZEN	1	1,000	25,00	1,000	484,29	19.07.2018	Ein	5,900	Nein	3,225	13,50	1,518	1966,0	1,518	1966,0	Eingang	0,00035	1	3,600	2,124	0,0012	19.07.2018
11,64379620	48,40245634	1	18/07/19-11:55:17	WEIZEN	2	1,000	26,50	1,000	484,31	19.07.2018	Ein	5,900	Nein	5,092	13,50	2,397	3104,3	2,397	3104,3	Eingang	0,00056	1	3,600	2,124	0,0018	19.07.2018
11,64380226	48,40246442	1	18/07/19-11:55:17	WEIZEN	3	0,972	35,60	1,000	484,32	19.07.2018	Ein	5,900	Nein	5,092	13,50	2,467	3193,7	2,467	3193,7	Eingang	0,00055	1	3,499	2,065	0,0018	19.07.2018
11,64381034	48,40247193	1	18/07/19-11:55:17	WEIZEN	4	1,028	45,20	1,000	484,32	19.07.2018	Ein	5,900	Nein	7,723	13,50	3,537	4579,9	3,537	4579,9	Eingang	0,00062	1	3,701	2,183	0,0028	19.07.2018
11,64382054	48,40247865	1	18/07/19-11:55:17	WEIZEN	5	1,028	43,70	1,000	484,30	19.07.2018	Ein	5,900	Nein	8,614	13,50	3,945	5108,4	3,945	5108,4	Eingang	0,00050	1	3,701	2,183	0,0031	19.07.2018
11,64383001	48,40248524	1	18/07/19-11:55:17	WEIZEN	6	1,000	38,70	1,000	484,33	19.07.2018	Ein	5,900	Nein	9,972	13,50	4,695	6079,2	4,695	6079,2	Eingang	0,00019	1	3,600	2,124	0,0036	19.07.2018
11,64383830	48,40249211	1	18/07/19-11:55:17	WEIZEN	7	1,028	39,80	1,000	484,39	19.07.2018	Ein	5,900	Nein	11,25	13,50	5,150	6668,6	5,150	6668,6	Eingang	0,00045	1	3,701	2,183	0,0040	19.07.2018
11,64384637	48,40249854	1	18/07/19-11:55:17	WEIZEN	8	1,000	45,30	1,000	484,46	19.07.2018	Ein	5,900	Nein	12,09	13,50	5,694	7372,7	5,694	7372,7	Eingang	0,00036	1	3,600	2,124	0,0043	19.07.2018
11,64385529	48,40250442	1	18/07/19-11:55:17	WEIZEN	9	1,000	36,90	1,000	484,48	19.07.2018	Ein	5,900	Nein	13,28	13,50	6,253	8097,0	6,253	8097,0	Eingang	0,00034	1	3,600	2,124	0,0048	19.07.2018
11,64386358	48,40251174	1	18/07/19-11:55:17	WEIZEN	10	1,000	41,30	1,000	484,50	19.07.2018	Ein	5,900	Nein	13,66	13,50	6,433	8329,8	6,433	8329,8	Eingang	5,057e-05	1	3,600	2,124	0,0049	19.07.2018
11,64387245	48,40251846	1	18/07/19-11:55:17	WEIZEN	11	0,972	44,80	1,000	484,52	19.07.2018	Ein	5,900	Nein	14,68	13,50	7,112	9208,5	7,112	9208,5	Eingang	0,00075	1	3,499	2,065	0,0053	19.07.2018
11,64388218	48,40252496	1	18/07/19-11:55:17	WEIZEN	12	1,000	36,60	1,000	484,52	19.07.2018	Ein	5,900	Nein	15,49	13,50	7,292	9442,2	7,292	9442,2	Eingang	-0,00032	1	3,600	2,124	0,0056	19.07.2018
11,64389076	48,40253265	1	18/07/19-11:55:17	WEIZEN	13	1,083	27,50	1,000	484,56	19.07.2018	Ein	5,900	Nein	14,81	13,50	6,438	8336,3	6,438	8336,3	Eingang	0,00016	1	3,899	2,300	0,0053	19.07.2018
11,64389765	48,40254144	1	18/07/19-11:55:17	WEIZEN	14	1,139	26,50	1,000	484,65	19.07.2018	Ein	5,900	Nein	14,98	13,50	6,192	8017,3	6,192	8017,3	Eingang	-1,512e-05	1	4,100	2,419	0,0054	19.07.2018
11,64390454	48,40255062	1	18/07/19-11:55:17	WEIZEN	15	1,139	28,80	1,000	484,71	19.07.2018	Ein	5,900	Nein	15,15	13,50	6,262	8108,2	6,262	8108,2	Eingang	0,00049	1	4,100	2,419	0,0054	19.07.2018
11,64391188	48,40255948	1	18/07/19-11:55:17	WEIZEN	16	1,139	30,20	1,000	484,76	19.07.2018	Ein	5,900	Nein	14,94	13,50	6,174	7994,6	6,174	7994,6	Eingang	-0,00025	1	4,100	2,419	0,0054	19.07.2018
11,64391897	48,40256758	1	18/07/19-11:55:17	WEIZEN	17	1,139	30,10	1,000	484,81	19.07.2018	Ein	5,900	Nein	15,19	13,50	6,280	8130,9	6,280	8130,9	Eingang	2,756e-05	1	4,100	2,419	0,0055	19.07.2018
11,64392629	48,40257595	1	18/07/19-11:55:17	WEIZEN	18	1,139	28,80	1,000	484,88	19.07.2018	Ein	5,900	Nein	15,19	13,50	6,280	8130,9	6,280	8130,9	Eingang	-0,00010	1	4,100	2,419	0,0055	19.07.2018
11,64393398	48,40258525	1	18/07/19-11:55:17	WEIZEN	19	1,222	29,80	1,000	484,95	19.07.2018	Ein	5,900	Nein	14,68	13,50	5,657	7324,6	5,657	7324,6	Eingang	0,00039	1	4,399	2,596	0,0053	19.07.2018
11,64394294	48,40259562	1	18/07/19-11:55:17	WEIZEN	20	1,306	35,40	1,000	484,98	19.07.2018	Ein	5,900	Nein	15,11	13,50	5,446	7051,6	5,446	7051,6	Eingang	-7,761e-05	1	4,702	2,774	0,0054	19.07.2018
11,64395309	48,40260510	1	18/07/19-11:55:17	WEIZEN	21	1,333	37,00	1,000	485,02	19.07.2018	Ein	5,900	Nein	16,30	13,50	5,755	7452,1	5,755	7452,1	Eingang	4,960e-05	1	4,799	2,831	0,0059	19.07.2018
11,64396388	48,40261460	1	18/07/19-11:55:17	WEIZEN	22	1,361	34,70	1,000	485,10	19.07.2018	Ein	5,900	Nein	16,00	13,50	5,534	7165,8	5,534	7165,8	Eingang	-0,00012	1	4,900	2,891	0,0058	19.07.2018
11,64397401	48,40262431	1	18/07/19-11:55:17	WEIZEN	23	1,333	39,00	1,000	485,16	19.07.2018	Ein	5,900	Nein	15,96	13,50	5,635	7296,9	5,635	7296,9	Eingang	0,00025	1	4,799	2,831	0,0057	19.07.2018
11,64398549	48,40263375	1	18/07/19-11:55:17	WEIZEN	24	1,361	40,20	1,000	485,23	19.07.2018	Ein	5,900	Nein	16,25	13,50	5,622	7279,8	5,622	7279,8	Eingang	0,00053	1	4,900	2,891	0,0058	19.07.2018
11,64399688	48,40264270	1	18/07/19-11:55:17	WEIZEN	25	1,361	37,90	1,000	485,33	19.07.2018	Ein	5,900	Nein	17,57	13,50	6,077	7869,0	6,077	7869,0	Eingang	-0,00015	1	4,900	2,891	0,0063	19.07.2018
11,64400793	48,40265213	1	18/07/19-11:55:17	WEIZEN	26	1,361	39,00	1,000	485,46	19.07.2018	Ein	5,900	Nein	16,80	13,50	5,813	7526,9	5,813	7526,9	Eingang	0,00060	1	4,900	2,891	0,0060	19.07.2018
