Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Kraftstoffverbrauch(L)	Kraftst.eff. (A)(ha/L)	Mot.-Leist.(W)	Mtr.belast.(%)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Kraftst.verbr. (F)(L/ha)	Kraftst.verbr. (Z)(L/h)	Kraftst.verbr. (M)(L/tonne)	Kraftst.verbr. (V)(L/L)	Fruchtdurchs. (V)(m³/s)	Kraftstoffeff.(km/L)	Datum
"1,166,526,743"	"4,843,173,950"	147-149	18/07/30-12:26:17	WEIZEN	1	"1,191"	"105,80"	"1,000"	"492,61"	30.07.2018	Ein	"5,800"	Nein	"3,229"	"14,60"	"1,299"	"1681,5"	"1,282"	"1660,1"	Eingang	"0,00"	"0,0090"	"0,077"	"0,00"	"51,00"	2	"4,288"	"2,487"	"13,03"	"32,40"	"10,03"	"0,0077"	"0,0012"	"0,132"	30.07.2018
"1,166,527,824"	"4,843,173,971"	147-149	18/07/30-12:26:17	WEIZEN	2	"0,674"	"81,40"	"1,000"	"492,67"	30.07.2018	Ein	"5,800"	Nein	"5,979"	"14,60"	"4,249"	"5501,4"	"4,195"	"5431,4"	Eingang	"0,00033"	"0,0080"	"0,049"	"0,00"	"38,00"	2	"2,426"	"1,407"	"20,46"	"28,80"	"4,817"	"0,0037"	"0,0022"	"0,084"	30.07.2018
"1,166,529,221"	"4,843,173,952"	147-149	18/07/30-12:26:17	WEIZEN	3	"0,877"	"93,30"	"1,000"	"492,74"	30.07.2018	Ein	"5,800"	Nein	"12,21"	"14,60"	"6,670"	"8636,8"	"6,586"	"8527,0"	Eingang	"-0,00042"	"0,0060"	"0,085"	"0,00"	"51,00"	2	"3,157"	"1,831"	"11,80"	"21,60"	"1,768"	"0,0014"	"0,0044"	"0,146"	30.07.2018
"1,166,530,889"	"4,843,173,913"	147-149	18/07/30-12:26:17	WEIZEN	4	"1,223"	"91,70"	"1,000"	"492,86"	30.07.2018	Ein	"5,800"	Nein	"15,15"	"14,40"	"5,932"	"7680,3"	"5,870"	"7600,4"	Eingang	"-0,00063"	"0,0090"	"0,079"	"0,00"	"54,00"	2	"4,403"	"2,554"	"12,69"	"32,40"	"2,139"	"0,0017"	"0,0054"	"0,136"	30.07.2018
"1,166,532,684"	"4,843,173,962"	147-149	18/07/30-12:26:17	WEIZEN	5	"1,432"	"86,90"	"1,000"	"492,98"	30.07.2018	Ein	"5,800"	Nein	"18,23"	"13,90"	"6,095"	"7892,5"	"6,067"	"7856,0"	Eingang	7.10E-02	"0,0090"	"0,092"	"0,00"	"57,00"	2	"5,155"	"2,990"	"10,84"	"32,40"	"1,778"	"0,0014"	"0,0066"	"0,159"	30.07.2018
"1,166,534,535"	"4,843,174,151"	147-149	18/07/30-12:26:17	WEIZEN	6	"1,528"	"80,20"	"1,000"	"493,10"	30.07.2018	Ein	"5,800"	Nein	"20,80"	"13,70"	"6,518"	"8439,9"	"6,503"	"8420,3"	Eingang	"0,00036"	"0,010"	"0,089"	"0,00"	"68,00"	2	"5,501"	"3,190"	"11,28"	"36,00"	"1,731"	"0,0013"	"0,0075"	"0,153"	30.07.2018
"1,166,536,423"	"4,843,174,432"	147-149	18/07/30-12:26:17	WEIZEN	7	"1,532"	"76,90"	"1,000"	"493,23"	30.07.2018	Ein	"5,800"	Nein	"24,23"	"13,60"	"7,574"	"9806,4"	"7,565"	"9795,1"	Eingang	"0,00040"	"0,012"	"0,074"	"0,00"	"70,00"	2	"5,515"	"3,199"	"13,50"	"43,20"	"1,783"	"0,0014"	"0,0087"	"0,128"	30.07.2018
"1,166,538,320"	"4,843,174,744"	147-149	18/07/30-12:26:17	WEIZEN	8	"1,543"	"75,90"	"1,000"	"493,37"	30.07.2018	Ein	"5,800"	Nein	"26,37"	"13,50"	"8,186"	10599	"8,186"	10599	Eingang	"-0,00016"	"0,012"	"0,075"	"0,00"	"67,00"	2	"5,555"	"3,222"	"13,41"	"43,20"	"1,638"	"0,0013"	"0,0095"	"0,129"	30.07.2018
"1,166,540,409"	"4,843,175,145"	147-149	18/07/30-12:26:17	WEIZEN	9	"1,562"	"73,60"	"1,000"	"493,50"	30.07.2018	Ein	"5,800"	Nein	"27,46"	"13,40"	"8,419"	10901	"8,419"	10901	Eingang	"-0,00012"	"0,012"	"0,075"	"0,00"	"63,00"	2	"5,623"	"3,261"	"13,25"	"43,20"	"1,573"	"0,0012"	"0,0099"	"0,130"	30.07.2018
"1,166,542,514"	"4,843,175,324"	147-149	18/07/30-12:26:17	WEIZEN	10	"1,854"	"83,90"	"1,000"	"493,94"	30.07.2018	Ein	"5,800"	Nein	"28,81"	"13,40"	"7,443"	"9637,0"	"7,443"	"9637,0"	Eingang	"0,00018"	"0,011"	"0,098"	"0,00"	"72,00"	2	"6,674"	"3,871"	"10,23"	"39,60"	"1,374"	"0,0011"	"0,010"	"0,169"	30.07.2018
