Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Fruchtdurchs. (V)(m³/s)	Datum
11.64667156	48.39874552	RK	18/07/26-17:15:02	WEIZEN	1.0	0,083	200,90	1,000	490,30	26.07.2018	Ein	5,900	Ja	0,127	13,80	0,721	932,93	0,718	929,69	Eingang	0,00033	7.0	0,299	0,176	4.57E-02	26.07.2018
11.64664582	48.39869378	RK	18/07/26-17:15:02	WEIZEN	2.0	1,722	191,90	1,000	490,60	26.07.2018	Ein	5,900	Ja	1,567	13,80	0,428	554,59	0,427	552,67	Eingang	0,00052	7.0	6,199	3,658	0,00056	26.07.2018
11.64664231	48.3986827	RK	18/07/26-17:15:02	WEIZEN	3.0	1,250	194,00	1,000	490,63	26.07.2018	Ein	5,900	Ja	5,420	13,80	2,041	2643,0	2,034	2633,9	Eingang	-0,00018	7.0	4,500	2,655	0,0019	26.07.2018
11.64663938	48.39867485	RK	18/07/26-17:15:02	WEIZEN	4.0	0,972	195,60	1,000	490,69	26.07.2018	Ein	5,900	Ja	7,748	13,80	3,753	4859,5	3,740	4842,6	Eingang	0,00053	7.0	3,499	2,065	0,0028	26.07.2018
11.6466349	48.39866415	RK	18/07/26-17:15:02	WEIZEN	5.0	1,361	200,00	1,000	490,78	26.07.2018	Ein	5,900	Ja	10,46	13,80	3,618	4684,3	3,605	4668,0	Eingang	0,00063	7.0	4,900	2,891	0,0038	26.07.2018
11.64662853	48.39865254	RK	18/07/26-17:15:02	WEIZEN	6.0	1,250	202,40	1,000	490,85	26.07.2018	Ein	5,900	Ja	10,97	13,80	4,130	5348,0	4,116	5329,5	Eingang	0,00067	7.0	4,500	2,655	0,0039	26.07.2018
11.64662233	48.39864254	RK	18/07/26-17:15:02	WEIZEN	7.0	1,250	200,10	1,000	490,90	26.07.2018	Ein	5,900	Ja	11,26	13,80	4,242	5492,6	4,227	5473,5	Eingang	0,00048	7.0	4,500	2,655	0,0041	26.07.2018
11.64661682	48.39863257	RK	18/07/26-17:15:02	WEIZEN	8.0	1,250	198,10	1,000	490,98	26.07.2018	Ein	5,900	Ja	11,58	13,60	4,360	5645,6	4,355	5639,0	Eingang	-0,00029	7.0	4,500	2,655	0,0042	26.07.2018
11.64661184	48.39862241	RK	18/07/26-17:15:02	WEIZEN	9.0	1,250	200,80	1,000	491,02	26.07.2018	Ein	5,900	Ja	11,97	13,50	4,507	5836,0	4,507	5836,0	Eingang	-1.85E-02	7.0	4,500	2,655	0,0043	26.07.2018
11.64660589	48.39861198	RK	18/07/26-17:15:02	WEIZEN	10.0	1,250	202,00	1,000	491,06	26.07.2018	Ein	5,900	Ja	12,72	13,60	4,791	6203,9	4,786	6196,7	Eingang	0,00038	7.0	4,500	2,655	0,0046	26.07.2018
