idx,Unnamed: 0,id,CODE_CULTU,path,meanCLD,sequencelength,classid,classname,region
8657,8657,6059869,PPH,csv/frh04/6059869.csv,593.92,50,7,permanent meadows,belle-ile
11515,11515,6028960,PRL,csv/frh04/6028960.csv,721.8578137651822,95,7,permanent meadows,belle-ile
11517,11517,6028961,PRL,csv/frh04/6028961.csv,673.8939740716147,101,7,permanent meadows,belle-ile
11518,11518,6028962,PPH,csv/frh04/6028962.csv,682.5018111567254,101,7,permanent meadows,belle-ile
11521,11521,6028965,VRG,csv/frh04/6028965.csv,679.2871287128712,101,5,orchards,belle-ile
11522,11522,6028966,PRL,csv/frh04/6028966.csv,651.6363636363636,99,7,permanent meadows,belle-ile
11523,11523,6028967,PRL,csv/frh04/6028967.csv,672.6393952702252,99,7,permanent meadows,belle-ile
11524,11524,6028968,PTR,csv/frh04/6028968.csv,655.1447734593137,99,8,temporary meadows,belle-ile
11526,11526,6028970,PPH,csv/frh04/6028970.csv,694.9477660004147,101,7,permanent meadows,belle-ile
11527,11527,6028971,PRL,csv/frh04/6028971.csv,661.6525814088811,101,7,permanent meadows,belle-ile
11529,11529,6028973,PPH,csv/frh04/6028973.csv,682.7675483966308,101,7,permanent meadows,belle-ile
11530,11530,6028974,PPH,csv/frh04/6028974.csv,668.7037186416068,92,7,permanent meadows,belle-ile
11531,11531,6028975,PRL,csv/frh04/6028975.csv,645.8313880416146,99,7,permanent meadows,belle-ile
11532,11532,6028976,PPH,csv/frh04/6028976.csv,654.5154639175257,97,7,permanent meadows,belle-ile
11725,11725,6029168,PRL,csv/frh04/6029168.csv,714.6050000774967,91,7,permanent meadows,belle-ile
11726,11726,6029169,PRL,csv/frh04/6029169.csv,681.9333665636527,70,7,permanent meadows,belle-ile
11727,11727,6029170,PRL,csv/frh04/6029170.csv,662.5882352941177,68,7,permanent meadows,belle-ile
11728,11728,6029171,PRL,csv/frh04/6029171.csv,680.405253283302,64,7,permanent meadows,belle-ile
11729,11729,6029172,PPH,csv/frh04/6029172.csv,658.2906602472208,66,7,permanent meadows,belle-ile
11730,11730,6029173,PPH,csv/frh04/6029173.csv,699.7333333333332,60,7,permanent meadows,belle-ile
11731,11731,6029174,PRL,csv/frh04/6029174.csv,672.1328300977091,63,7,permanent meadows,belle-ile
11732,11732,6029175,PRL,csv/frh04/6029175.csv,693.6774193548387,62,7,permanent meadows,belle-ile
11733,11733,6029176,PPH,csv/frh04/6029176.csv,686.5596279481784,101,7,permanent meadows,belle-ile
11734,11734,6029177,PPH,csv/frh04/6029177.csv,644.7494723916964,54,7,permanent meadows,belle-ile
11735,11735,6029178,PRL,csv/frh04/6029178.csv,659.7951980935359,54,7,permanent meadows,belle-ile
11736,11736,6029179,PRL,csv/frh04/6029179.csv,644.7407407407408,54,7,permanent meadows,belle-ile
11738,11738,6029180,PRL,csv/frh04/6029180.csv,663.8006143332442,101,7,permanent meadows,belle-ile
11739,11739,6029181,PPH,csv/frh04/6029181.csv,705.1686196489691,84,7,permanent meadows,belle-ile
11740,11740,6029182,PRL,csv/frh04/6029182.csv,673.5420705610178,91,7,permanent meadows,belle-ile
11805,11805,6029247,PRL,csv/frh04/6029247.csv,666.0256455472983,100,7,permanent meadows,belle-ile
11806,11806,6029248,PRL,csv/frh04/6029248.csv,642.6349226713586,51,7,permanent meadows,belle-ile
11807,11807,6029249,PRL,csv/frh04/6029249.csv,684.1746031746031,84,7,permanent meadows,belle-ile
11808,11808,6029250,PPH,csv/frh04/6029250.csv,691.2527367076067,60,7,permanent meadows,belle-ile
11857,11857,6029348,PRL,csv/frh04/6029348.csv,745.3305465465468,90,7,permanent meadows,belle-ile
11890,11890,6029346,PPH,csv/frh04/6029346.csv,726.8981696281418,94,7,permanent meadows,belle-ile
11906,11906,6029345,PPH,csv/frh04/6029345.csv,735.8373564201006,91,7,permanent meadows,belle-ile
11907,11907,6029347,PRL,csv/frh04/6029347.csv,729.6367480712174,94,7,permanent meadows,belle-ile
11908,11908,6029349,PPH,csv/frh04/6029349.csv,739.8736439665472,90,7,permanent meadows,belle-ile
11910,11910,6029351,PRL,csv/frh04/6029351.csv,701.8070712671132,90,7,permanent meadows,belle-ile
11911,11911,6029352,PPH,csv/frh04/6029352.csv,672.9881440742912,77,7,permanent meadows,belle-ile
11912,11912,6029353,PRL,csv/frh04/6029353.csv,645.7510200402608,83,7,permanent meadows,belle-ile
11914,11914,6029355,PTR,csv/frh04/6029355.csv,688.6475230898405,80,8,temporary meadows,belle-ile
11916,11916,6029357,PPH,csv/frh04/6029357.csv,744.5184149184149,78,7,permanent meadows,belle-ile
11917,11917,6029358,PRL,csv/frh04/6029358.csv,718.1491508130009,83,7,permanent meadows,belle-ile
11918,11918,6029359,PRL,csv/frh04/6029359.csv,647.4903100102241,74,7,permanent meadows,belle-ile
19519,19519,6059870,PPH,csv/frh04/6059870.csv,593.92,50,7,permanent meadows,belle-ile
19596,19596,6059871,PPH,csv/frh04/6059871.csv,593.92,50,7,permanent meadows,belle-ile
41124,41124,6059520,PPH,csv/frh04/6059520.csv,632.3144073201289,101,7,permanent meadows,belle-ile
41194,41194,6059589,PPH,csv/frh04/6059589.csv,657.564466372696,101,7,permanent meadows,belle-ile
41195,41195,6059590,PPH,csv/frh04/6059590.csv,684.3224876709947,84,7,permanent meadows,belle-ile
41196,41196,6059591,PPH,csv/frh04/6059591.csv,593.92,50,7,permanent meadows,belle-ile
41198,41198,6059593,PPH,csv/frh04/6059593.csv,675.510849815382,92,7,permanent meadows,belle-ile
41199,41199,6059594,PPH,csv/frh04/6059594.csv,672.1040395443799,75,7,permanent meadows,belle-ile
41200,41200,6059595,PPH,csv/frh04/6059595.csv,677.6153094947065,84,7,permanent meadows,belle-ile
41201,41201,6059596,PPH,csv/frh04/6059596.csv,626.4757965531736,65,7,permanent meadows,belle-ile
41202,41202,6059597,PPH,csv/frh04/6059597.csv,611.0911424510266,63,7,permanent meadows,belle-ile
41203,41203,6059598,PPH,csv/frh04/6059598.csv,596.6089283890083,60,7,permanent meadows,belle-ile
41204,41204,6059599,PPH,csv/frh04/6059599.csv,596.3511815401723,55,7,permanent meadows,belle-ile
41205,41205,6059600,PPH,csv/frh04/6059600.csv,609.8148566288093,50,7,permanent meadows,belle-ile
41206,41206,6059601,PPH,csv/frh04/6059601.csv,614.4,50,7,permanent meadows,belle-ile
41208,41208,6059603,PPH,csv/frh04/6059603.csv,615.7541406596189,50,7,permanent meadows,belle-ile
41209,41209,6059604,PPH,csv/frh04/6059604.csv,610.4615384615385,52,7,permanent meadows,belle-ile
41283,41283,6059679,PPH,csv/frh04/6059679.csv,602.3529411764706,51,7,permanent meadows,belle-ile
41284,41284,6059680,PPH,csv/frh04/6059680.csv,670.031496966354,50,7,permanent meadows,belle-ile
41285,41285,6059681,PPH,csv/frh04/6059681.csv,593.92,50,7,permanent meadows,belle-ile
41287,41287,6059683,PPH,csv/frh04/6059683.csv,593.92,50,7,permanent meadows,belle-ile
41288,41288,6059684,PPH,csv/frh04/6059684.csv,593.92,50,7,permanent meadows,belle-ile
41290,41290,6059686,PPH,csv/frh04/6059686.csv,593.92,50,7,permanent meadows,belle-ile
41292,41292,6059688,PPH,csv/frh04/6059688.csv,656.4092599620493,50,7,permanent meadows,belle-ile
41294,41294,6059690,PPH,csv/frh04/6059690.csv,695.2744555753592,53,7,permanent meadows,belle-ile
41299,41299,6059694,PPH,csv/frh04/6059694.csv,596.8970112130479,54,7,permanent meadows,belle-ile
41300,41300,6059695,PPH,csv/frh04/6059695.csv,604.6885046998443,50,7,permanent meadows,belle-ile
41301,41301,6059696,PPH,csv/frh04/6059696.csv,604.5236884978822,50,7,permanent meadows,belle-ile
41302,41302,6059697,PPH,csv/frh04/6059697.csv,610.406602504944,50,7,permanent meadows,belle-ile
41303,41303,6059698,PPH,csv/frh04/6059698.csv,593.92,50,7,permanent meadows,belle-ile
41304,41304,6059699,PPH,csv/frh04/6059699.csv,593.92,50,7,permanent meadows,belle-ile
41378,41378,6059772,PPH,csv/frh04/6059772.csv,628.8628353390079,50,7,permanent meadows,belle-ile
41379,41379,6059773,PPH,csv/frh04/6059773.csv,584.752416448483,50,7,permanent meadows,belle-ile
41380,41380,6059774,PPH,csv/frh04/6059774.csv,675.1146149181322,85,7,permanent meadows,belle-ile
41381,41381,6059775,PPH,csv/frh04/6059775.csv,680.7259419011209,101,7,permanent meadows,belle-ile
41382,41382,6059776,PPH,csv/frh04/6059776.csv,627.4913030627864,82,7,permanent meadows,belle-ile
41383,41383,6059777,PPH,csv/frh04/6059777.csv,664.0279966367217,75,7,permanent meadows,belle-ile
41384,41384,6059778,PPH,csv/frh04/6059778.csv,660.418005886802,101,7,permanent meadows,belle-ile
41385,41385,6059779,PPH,csv/frh04/6059779.csv,592.5981610930778,50,7,permanent meadows,belle-ile
41386,41386,6059780,PPH,csv/frh04/6059780.csv,594.1858301784747,50,7,permanent meadows,belle-ile
41387,41387,6059781,PPH,csv/frh04/6059781.csv,637.7540339785958,101,7,permanent meadows,belle-ile
41388,41388,6059782,PPH,csv/frh04/6059782.csv,690.3009435213237,90,7,permanent meadows,belle-ile
41389,41389,6059783,PPH,csv/frh04/6059783.csv,663.9730612897919,99,7,permanent meadows,belle-ile
41390,41390,6059784,PTR,csv/frh04/6059784.csv,651.9414234511007,99,8,temporary meadows,belle-ile
41391,41391,6059785,PPH,csv/frh04/6059785.csv,619.2248905360373,61,7,permanent meadows,belle-ile
41392,41392,6059786,PPH,csv/frh04/6059786.csv,698.2102791591024,75,7,permanent meadows,belle-ile
41393,41393,6059787,PPH,csv/frh04/6059787.csv,600.5481895570049,54,7,permanent meadows,belle-ile
41394,41394,6059788,PPH,csv/frh04/6059788.csv,693.358394638524,84,7,permanent meadows,belle-ile
41395,41395,6059789,PPH,csv/frh04/6059789.csv,578.2167860422406,55,7,permanent meadows,belle-ile
41396,41396,6059790,PPH,csv/frh04/6059790.csv,624.9317470256732,64,7,permanent meadows,belle-ile
41397,41397,6059791,PPH,csv/frh04/6059791.csv,637.4541362082567,50,7,permanent meadows,belle-ile
41398,41398,6059792,PPH,csv/frh04/6059792.csv,614.4,50,7,permanent meadows,belle-ile
