,precision,recall,f1-score,support
0,0.9833333333333333,0.7023809523809523,0.8194444444444444,168.0
1,0.0625,1.0,0.11764705882352941,1.0
2,0.40476190476190477,1.0,0.576271186440678,17.0
3,0.6481481481481481,0.7142857142857143,0.6796116504854369,49.0
4,1.0,0.9,0.9473684210526316,10.0
5,0.711864406779661,0.75,0.7304347826086958,56.0
6,0.0,0.0,0.0,0.0
accuracy,0.7375415282392026,0.7375415282392026,0.7375415282392026,0.7375415282392026
macro avg,0.5443725418604354,0.7238095238095239,0.5529682205507738,301.0
weighted avg,0.8430801276407729,0.7375415282392026,0.7683054046690412,301.0
